험난했던	험난하/VA+였/EP+던/ETM
이상이었다	이상/NNG+이/VCP+었/EP+다/EF

국도변에	국도변/NNG+에/JKB
있는	있/VA+는/ETM
칼국수	칼국수/NNG
식당	식당/NNG
앞에	앞/NNG+에/JKB
대열은	대열/NNG+은/JX
멈춰	멈추/VV+어/EC
섰다	서/VV+었/EP+다/EC

칼국수로	칼국수로/NNP
점심을	점심/NNG+을/JKO
먹으면서	먹/VV+으면서/EC
충전도	충전/NNG+도/JX
했다	하/VV+였/EP+다/EF

사장님이	사장/NNG+님/XSN+이/JKS
점심	점심/NNG
먹은	먹/VV+은/ETM
대원이	대원/NNG+이/JKS
의자에서	의자/NNG+에서/JKB
선잠을	선잠/NNG+을/JKO
잘	자/VV+ㄹ/ETM
때	때/NNG
의자를	의자/NNG+를/JKO
몇	몇/MM
개	개/NNB
붙여서	붙이/VV+어서/EC
눕게	눕/VV+게/EC
해주었고,	하/VX+여/EC+주/VX+었/EP+고/EC+,/SP
베게대용으로	베게대용/NNG+으로/JKB
두루마기	두루마기/NNG
휴지를	휴지/NNG+를/JKO
나눠주어	나누/VV+어/EC+주/VV+어/EC
편히	편히/MAG
자도록	자/VV+도록/EC
배려해	배려하/VV+여/EC
주었다	주/VX+었/EP+다/EF

장애인이	장애인/NNG+이/JKS
불쌍해서	불쌍하/VA+여서/EC
혹은	혹은/MAG
반시설	반시설/NNG
정책에	정책/NNG+에/JKB
동의해서	동의하/VV+여서/EC
인지는	인지는/NA
알	알/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
고생	고생/NNG
많고,	많/VA+고/EC+,/SP
안쓰럽다며,	안쓰럽/VA+다며/EC+,/SP
끝까지	끝/NNG+까지/JX
완주할	완주하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다	당부하/VV+였/EP+다/EC

추풍령은	추풍령/NNP+은/JX
추풍령인가보다	추풍령인가/NNP+보다/JKB

오후	오후/NNG
행군	행군/NNG
내내	내내/MAG
2~3개의	2/SN+~/SO+3/SN+개/NNB+의/JKG
오르막	오르막/NNG
고개가	고개/NNG+가/JKS
더	더/MAG
있었다	있/VA+었/EP+다/EF

다행히	다행히/MAG
경사는	경사/NNG+는/JX
완만했으나	완만하/VA+었/EP+으나/EC
그	그/MM
길이가	길이/NNG+가/JKS
만만치	만만하/VA+지/EC
않았다	않/VX+았/EP+다/EF

전동휠체어도	전동휠체어/NNG+도/JX
힘들어	힘들/VA+어/EC
했다	하/VV+였/EP+다/EF

아니나	아니/VCN+나/EC
다를까	다르/VA+ㄹ까/EC
옥천센터	옥천센터/NNP
대원	대원/NNG
2명의	2/SN+명/NNB+의/JKG
배터리에	배터리/NNG+에/JKB
문제가	문제/NNG+가/JKS
생겨	생기/VV+어/EC
멈춰	멈추/VV+어/EC
섰다	서/VV+었/EP+다/EC

문경희	문경희/NNP
본대원의	본대/NNG+원/XSN+의/JKG
휠체어도	휠체어/NNG+도/JX
멈춰서기	멈추/VV+어/EC+서/VV+기/ETN
일보직전이었다	일보직전/NNG+이/VCP+었/EP+다/EF

다행히	다행히/MAG
여유분의	여유분/NNG+의/JKG
전동휠체어가	전동휠체어/NNG+가/JKS
있어	있/VA+어/EC
교체해	교체하/VV+여/EC
옥천군청에	옥천군청/NNP+에/JKB
도착할	도착하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

원래	원래/NNG
옥천군청은	옥천군청/NNP+은/JX
경로에	경로/NNG+에/JKB
없었는데	없/VA+었/EP+는데/EC
옥천센터	옥천센터/NNP
사무국장이	사무국/NNG+장/XSN+이/JKS
워낙	워낙/MAG
옥천군청	옥천군청/NNP
장애인복지과	장애인복지/NNG+과/JC
직원들이	직원/NNG+들/XSN+이/JKS
장애인복지	장애인복지/NNG
생각이	생각/NNG+이/JKS
부족하다고	부족하/VA+다고/EC
피력해	피력하/VV+여/EC
급하게	급하/VA+게/EC
끼워	끼우/VV+어/EC
넣은	넣/VV+은/ETM
경로였다	경로/NNG+이/VCP+었/EP+다/EF

옥천군청에	옥천군청/NNP+에/JKB
도착한	도착하/VV+ㄴ/ETM
대원들은	대원/NNG+들/XSN+은/JX
비를	비/NNG+를/JKO
피해	피하/VV+여/EC
민원봉사실	민원봉사/NNG+실/XSN
로비로	로비/NNG+로/JKB
향했고	향하/VV+였/EP+고/EC
장애인복지과장과	장애인복지과장/NNG+과/JC
간단한	간단하/VA+ㄴ/ETM
인사와	인사/NNG+와/JKB
짧은	짧/VA+은/ETM
대화도	대화/NNG+도/JX
나누었다	나누/VV+었/EP+다/EC

의외로	의외로/MAG
과장은	과장/NNG+은/JX
반시설과	반시설/NNG+과/JC
자립생활에	자립생활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지가	의지/NNG+가/JKS
있었으나	있/VA+었/EP+으나/EC
아래의	아래/NNG+의/JKG
실무자들이	실무자/NNG+들/XSN+이/JKS
잘	잘/MAG
이해하지	이해하/VV+지/EC
못해	못하/VX+여/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
집행이	집행/NNG+이/JKS
제대로	제대로/MAG
되지	되/VV+지/EC
않는	않/VX+는/ETM
것으로	것/NNB+으로/JKB
파악됐다	파악되/VV+었/EP+다/EF

최종	최종/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
충북도립대학교에	충북도립대학교/NNP+에/JKB
도착했는데	도착하/VV+였/EP+는데/EC
옥천센터	옥천센터/NNP
활동가와	활동가/NNG+와/JC
회원들이	회원/NNG+들/XSN+이/JKS
반갑게	반갑/VA+게/EC
맞아	맞/VV+아/EC
주었다	주/VX+었/EP+다/EF

숙소는	숙소/NNG+는/JX
1층	1/SN+층/NNG
사회복지과	사회복지/NNG+과/XSN
전용	전용/NNG
강의실로	강의실/NNG+로/JKB
정해졌고,	정하/VV+여/EC+지/VX+었/EP+고/EC+,/SP
1층에sms	1/SN+층/NNG+에/JKB+sms/SL
남녀	남녀/NNG
화장실(장애인화장실	화장실/NNG+(/SS+장애인화장실/NNG
포함),	포함/NNG+)/SS+,/SP
2층에는	2/SN+층/NNG+에/JKB+는/JX
샤워장도	샤워/NNG+장/XSN+도/JX
딸려	딸리/VV+어/EC
있었다	있/VX+었/EP+다/EF

강의실	강의실/NNG
책상을	책상/NNG+을/JKO
이용해	이용하/VV+여/EC
즉석	즉석/NNG
식탁이	식탁/NNG+이/JKS
꾸려졌고,	꾸리/VV+어/EC+지/VX+었/EP+고/EC+,/SP
이내	이내/MAG
저녁상이	저녁상/NNG+이/JKS
차려졌다	차리/VV+어/EC+지/VX+었/EP+다/EF

반찬	반찬/NNG
집에서	집/NNG+에서/JKB
주문한	주문하/VV+ㄴ/ETM
7가지	7/SN+가지/NNB
반찬과	반찬/NNG+과/JC
밥으로	밥/NNG+으로/JKB
맛있게	맛있/VA+게/EC
식사를	식사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
후	후/NNG
교류회도	교류/NNG+회/XSN+도/JX
진행했다	진행하/VV+였/EP+다/EF

옥천군의	옥천군/NNP+의/JKG
장애인복지정책과	장애인복지정책/NNG+과/JC
지역장애인당사자들의	지역장애인당사자/NNG+들/XSN+의/JKG
현실을	현실/NNG+을/JKO
전해	전하/VV+여/EC
들었고,	들/VX+었/EP+고/EC+,/SP
서울	서울/NNP
및	및/MAG
인천,	인천/NNP+,/SP
대전지역	대전/NNP+지역/NNG
중심의	중심/NNG+의/JKG
노하우를	노하우/NNG+를/JKO
전해주는	전하/VV+여/EC+주/VX+는/ETM
이야기가	이야기/NNG+가/JKS
한참	한참/NNG
오갔다	오가/VV+았/EP+다/EF

간단한	간단하/VA+ㄴ/ETM
음주를	음주/NNG+를/JKO
통해	통하/VV+여/EC
분위기가	분위기/NNG+가/JKS
무르익었고,	무르익/VV+었/EP+고/EC+,/SP
우리	우리/NP
대원과	대원/NNG+과/JC
옥천센터	옥천센터/NNP
활동가와	활동가/NNG+와/JC
회원들이	회원/NNG+들/XSN+이/JKS
자연스럽게	자연스럽/VA+게/EC
자립생활과	자립생활/NNG+과/JC
반시설의	반시설/NNG+의/JKG
정당성에	정당성/NNG+에/JKB
대해서	대하/VV+여서/EC
이야기	이야기/NNG
나눴다	나누/VV+었/EP+다/EF

전형적인	전형적/NNG+이/VCP+ㄴ/ETM
농촌기반	농촌기반/NNG
자립생활센터인	자립생활센터/NNG+이/VCP+ㄴ/ETM
옥천센터와	옥천센터/NNP+와/JC
도시형	도시/NNG+형/XSN
자립생활센터	자립생활센터/NNG
활동가	활동가/NNG
간의	간/NNB+의/JKG
대화는	대화/NNG+는/JX
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
맞게	맞/VV+게/EC
대처하는	대처하/VV+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+여/EC
깊이	깊이/MAG
있는	있/VA+는/ETM
대화를	대화/NNG+를/JKO
나누는	나누/VV+는/ETM
기회가	기회/NNG+가/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
서로에게	서로/NNG+에게/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
만한	만하/VX+ㄴ/ETM
의견들이	의견/NNG+들/XSN+이/JKS
제안되기도	제안되/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이심전심이	이심전심/NNG+이/JKS
이럴	이렇/VA+ㄹ/ETM
때	때/NNG
쓰는	쓰/VV+는/ETM
말인가	말/NNG+이/VCP+ㄴ가/EC
싶다	싶/VX+다/EC

금방	금방/MAG
화기애애한	화기애애하/VA+ㄴ/ETM
분위기가	분위기/NNG+가/JKS
형성됐고	형성되/VV+었/EP+고/EC
호형호제하면서	호형호제하/VV+면서/EC
사적인	사적/NNG+이/VCP+ㄴ/ETM
얘기도	얘기/NNG+도/JX
나누었다	나누/VV+었/EP+다/EC

마치	마치/MAG
10년	10/SN+년/NNB
된	되/VV+ㄴ/ETM
친구이자	친구/NNG+이/VCP+자/EC
동지처럼	동지/NNG+처럼/JKB
서로의	서로/NNG+의/JKG
신념과	신념/NNG+과/JC
활동목적,	활동목적/NNG+,/SP
자립생활	자립생활/NNG
운동에	운동/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
계기,	계기/NNG+,/SP
개인	개인/NNG
가정사와	가정/NNG+사/XSN+와/JC
자기	자기/NP
희망	희망/NNG
등을	등/NNB+을/JKO
스스럼없이	스스럼없이/MAG
이야기했다	이야기하/VV+였/EP+다/EC

내일의	내일/NNG+의/JKG
목적지는	목적지/NNG+는/JX
대전이다	대전/NNG+이/VCP+다/EC

20킬로미터	20/SN+킬/NNB+로미터/JX
조금	조금/MAG
넘는다	넘/VV+는다/EC

오후	오후/NNG
4시에	4/SN+시/NNB+에/JKB
대전시청	대전/NNP+시청/NNG
앞에서	앞/NNG+에서/JKB
대전지역	대전/NNP+지역/NNG
결의대회가	결의대회/NNG+가/JKS
예정돼	예정되/VV+어/EC
있다	있/VX+다/EF
