뒤늦게	뒤늦/VA+게/EC
철원에	철원/NNP+에/JKB
위치한	위치하/VV+ㄴ/ETM
요양시설에서	요양시설/NNG+에서/JKB
불의의	불의/NNG+의/JKG
사고로	사고/NNG+로/JKB
인해	인하/VV+여/EC
모든	모든/MM
것을	것/NNB+을/JKO
놓고	놓/VV+고/EC
다시	다시/MAG
집으로	집/NNG+으로/JKB
돌아올	돌아오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없던	없/VA+던/ETM
것	것/NNB

생계유지를	생계유지/NNG+를/JKO
위해	위하/VV+여/EC
어머니가	어머니/NNG+가/JKS
밤늦게까지	밤늦/VA+게/EC+까지/JX
집을	집/NNG+을/JKO
비운	비우/VV+ㄴ/ETM
공간,	공간/NNG+,/SP
김씨가	김/NNP+씨/NNB+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
것은	것/NNB+은/JX
라디오나	라디오/NNG+나/JC
텔레비전을	텔레비전/NNG+을/JKO
보는	보/VV+는/ETM
것에	것/NNB+에/JKB
불과했다	불과하/VA+었/EP+다/EC

김씨가	김/NNP+씨/NNB+가/JKS
공부하는	공부하/VV+는/ETM
모습	모습/NNG
&lt;아래>김씨는입으로	&/SW+lt/SL+;/SP+아래/NNG+>/SS+김/NNP+씨/NNB+는/JX+입/NNG+으로/JKB
일일이	일일이/MAG
컴퓨터	컴퓨터/NNG
자판을	자판/NNG+을/JKO
이동하며	이동하/VV+며/EC
사용한다	사용하/VV+ㄴ다/EC

"	"/SS
border="1"	border/SL+=/SW+"/SS+1/SN+"/SS
height="480"	height/SL+=/SW+"/SS+480/SN+"/SS
width="360"	width/SL+=/SW+"/SS+360/SN+"/SS
/>	//SP+>/SS
<위>김씨가	</SS+위/NNG+>/SS+김/NNP+씨/NNB+가/JKS
공부하는	공부하/VV+는/ETM
모습	모습/NNG
<아래>김씨는입으로	</SS+아래/NNG+>/SS+김/NNP+씨/NNB+는/JX+입/NNG+으로/JKB
일일이	일일이/MAG
컴퓨터	컴퓨터/NNG
자판을	자판/NNG+을/JKO
이동하며	이동하/VV+며/EC
사용한다	사용하/VV+ㄴ다/EC

다행히	다행히/MAG
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
활동보조서비스	활동보조서비스/NNG
시행으로	시행/NNG+으로/JKB
활동보조인을	활동보조인/NNG+을/JKO
얻었고,	얻/VV+었/EP+고/EC+,/SP
2009년에는	2009/SN+년/NNB+에/JKB+는/JX
복지관으로부터	복지/NNG+관/XSN+으로부터/JKB
컴퓨터	컴퓨터/NNG
보조기구를	보조기구/NNG+를/JKO
지원받았다	지원/NNG+받/VV+았/EP+다/EF

하지만	하지만/MAJ
처음	처음/NNG
만져보는	만지/VV+어/EC+보/VX+는/ETM
컴퓨터에	컴퓨터/NNG+에/JKB
입만으로	입/NNG+만/JX+으로/JKB
컴퓨터를	컴퓨터/NNG+를/JKO
작동해야	작동하/VV+여야/EC
하는	하/VX+는/ETM
그로써는	그/NP+로써/JKB+는/JX
너무나	너무나/MAG
힘겨운	힘겹/VA+ㄴ/ETM
과정이었다	과정/NNG+이/VCP+었/EP+다/EF

“처음	“/SL+처음/NNG
컴퓨터를	컴퓨터/NNG+를/JKO
다뤘을	다루/VV+었/EP+을/ETM
땐	때/NNG+ㄴ/JX
너무나	너무나/MAG
힘들고	힘들/VA+고/EC
어려웠어요	어렵/VA+었/EP+어요/EC

그렇지만	그렇지만/MAJ
컴퓨터로	컴퓨터/NNG+로/JKB
인해	인하/VV+여/EC
세상과	세상/NNG+과/JKB
만나게	만나/VV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
공부를	공부/NNG+를/JKO
다시	다시/MAG
해야겠다는	하/VV+여야/EC+하/VX+겠/EP+다는/ETM
욕망이	욕망/NNG+이/JKS
올라왔어요	올라오/VV+았/EP+어요/EC

그렇게	그렇/VA+게/EC
다시	다시/MAG
공부를	공부/NNG+를/JKO
시작하게	시작하/VV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
야학에서,	야학/NNG+에서/JKB+,/SP
인터넷으로	인터넷/NNG+으로/JKB
열심히	열심히/MAG
공부했어요	공부하/VV+였/EP+어요/EC

”다시	”/SN+다/NR+시/NNB
공부를	공부/NNG+를/JKO
시작한	시작하/VV+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
지난해부터	지난해/NNG+부터/JX
서울	서울/NNP
안암동에	안암동/NNP+에/JKB
위치한	위치하/VV+ㄴ/ETM
야학에서	야학/NNG+에서/JKB
배우기	배우/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

고려대	고려대/NNP
학생들로	학생/NNG+들/XSN+로/JKB
이루어진	이루어지/VV+ㄴ/ETM
선생님들로부터	선생님/NNG+들/XSN+로부터/JKB
김씨는	김/NNP+씨/NNB+는/JX
영어,	영어/NNP+,/SP
수학	수학/NNG
등	등/NNB
과목을	과목/NNG+을/JKO
일주일에	일/NR+주일/NNB+에/JKB
2번	2/SN+번/NNB
정도	정도/NNG
배우고,	배우/VV+고/EC+,/SP
돌아와	돌아오/VV+아/EC
일일이	일일이/MAG
강의내용을	강의내용/NNG+을/JKO
입으로	입/NNG+으로/JKB
메모장에	메모장/NNG+에/JKB
적었다	적/VV+었/EP+다/EF

하지만	하지만/MAJ
야학에서	야학/NNG+에서/JKB
봉사하는	봉사하/VV+는/ETM
대학생들이	대학생/NNG+들/XSN+이/JKS
개인사정으로	개인사정/NNG+으로/JKB
그만두고	그만두/VV+고/EC
바뀌는	바뀌/VV+는/ETM
과정이	과정/NNG+이/JKS
반복되다	반복되/VV+다/EC
보니,	보/VX+니/EC+,/SP
김씨는	김/NNP+씨/NNB+는/JX
올해부터는	올해/NNG+부터는/JX
인터넷	인터넷/NNG
온라인	온라인/NNG
강의를	강의/NNG+를/JKO
시작했다	시작하/VV+였/EP+다/EF

온라인을	온라인/NNG+을/JKO
통해	통하/VV+여/EC
보이는	보이/VV+는/ETM
강의내용을	강의내용/NNG+을/JKO
반복해서	반복하/VV+여서/EC
끊임없이	끊임없이/MAG
들었으며,	듣/VV+었/EP+으며/EC+,/SP
교재는	교재/NNG+는/JX
활동보조인이	활동보조인/NNG+이/JKS
일일이	일일이/MAG
한	한/MM
장씩	장/NNB+씩/XSN
스캔을	스캔/NNG+을/JKO
해줘	하/VV+여/EC+주/VX+어/EC
메모장에서	메모장/NNG+에서/JKB
필기를	필기/NNG+를/JKO
했다	하/VV+였/EP+다/EF

이후	이후/NNG
메모장에	메모장/NNG+에/JKB
저장해둔	저장하/VV+여/EC+두/VX+ㄴ/ETM
것을	것/NNB+을/JKO
다시	다시/MAG
공부할때마다	공부하/VV+ㄹ/ETM+때/NNG+마다/JX
열어	열/VV+어/EC
읽어보고,	읽/VV+어/EC+보/VX+고/EC+,/SP
이해가	이해/NNG+가/JKS
안	안/MAG
되는	되/VV+는/ETM
부분은	부분/NNG+은/JX
다시	다시/MAG
강의를	강의/NNG+를/JKO
들으며,	듣/VV+으며/EC+,/SP
공부해	공부하/VV+여/EC
나갔다	나가/VX+았/EP+다/EF

그것이	그것/NP+이/JKS
꼬박	꼬박/MAG
3개월간	3/SN+개월/NNB+간/XSN
지속됐다	지속되/VV+었/EP+다/EF

김씨가	김/NNP+씨/NNB+가/JKS
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
과목은	과목/NNG+은/JX
다름	다르/VA+ㅁ/ETN
아닌	아니/VCN+ㄴ/ETM
수학	수학/NNG

과목	과목/NNG
특성상	특성/NNG+상/XSN
일일이	일일이/MAG
손으로	손/NNG+으로/JKB
필기하며	필기하/VV+며/EC
계산해야	계산하/VV+여야/EC
하지만,	하/VX+지만/EC+,/SP
모든	모든/MM
것을	것/NNB+을/JKO
머리로	머리/NNG+로/JKB
암산을	암산/NNG+을/JKO
해서	하/VV+여서/EC
풀어나가야	풀/VV+어/EC+나가/VX+아야/EC
하는	하/VX+는/ETM
김씨에게는	김/NNP+씨/NNB+에게/JKB+는/JX
힘겨운	힘겹/VA+ㄴ/ETM
과목일수	과목/NNG+이/VCP+ㄹ/ETM+수/NNB
밖에	밖에/JX
없다	없/VA+다/EC

대신,	대신/NNG+,/SP
그만큼	그만큼/MAG
암기력이	암기력/NNG+이/JKS
발달돼,	발달되/VV+어/EC+,/SP
사회과목에는	사회과목/NNG+에/JKB+는/JX
자신	자신/NNG
있다고	있/VA+다고/EC
웃었다	웃/VV+었/EP+다/EF

시험	시험/NNG
당일은	당일/NNG+은/JX
힘들지	힘들/VA+지/EC
않았냐라는	않/VX+았/EP+냐라는/ETM
질문에	질문/NNG+에/JKB
김씨는	김/NNP+씨/NNB+는/JX
“하마터면	“하/VV+마터면/EC
시험을	시험/NNG+을/JKO
못	못/MAG
볼	보/VV+ㄹ/ETM
뻔했다”고	뻔하/VX+였/EP+다/EC+”/VX+고/EC
가슴을	가슴/NNG+을/JKO
쓸어내렸다	쓸/VV+어/EC+내리/VX+었/EP+다/EF

아침	아침/NNG
일찍	일찍/MAG
일어나	일어나/VV+아/EC
새벽	새벽/NNG
5시30분에	5/SN+시/NNB+30/SN+분/NNB+에/JKB
고사장에	고사장/NNG+에/JKB
가기	가/VV+기/ETN
위해	위하/VV+여/EC
장애인콜택시를	장애인콜택시/NNG+를/JKO
불렀으나,	부르/VV+었/EP+으나/EC+,/SP
전화를	전화/NNG+를/JKO
받지	받/VV+지/EC
않아	않/VX+아/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
어머니의	어머니/NNG+의/JKG
차를	차/NNG+를/JKO
급하게	급하/VA+게/EC
타고	타/VV+고/EC
아슬아슬하게	아슬아슬하/VA+게/EC
시험	시험/NNG
장소에	장소/NNG+에/JKB
도착했던	도착하/VV+었/EP+던/ETM
것	것/NNB

김씨가	김/NNP+씨/NNB+가/JKS
공부한	공부하/VV+ㄴ/ETM
책들	책/NNG+들/XSN

이	이/MM
책들을	책/NNG+들/XSN+을/JKO
일일이	일일이/MAG
컴퓨터	컴퓨터/NNG
스캐너로	스캐너/NNG+로/JKB
스캔받아	스캔/NNG+받/VV+아/EC
공부했다	공부하/VV+였/EP+다/EF

처음	처음/NNG
치르는	치르/VV+는/ETM
시험에	시험/NNG+에/JKB
긴장했다는	긴장하/VV+였/EP+다는/ETM
김씨는	김/NNP+씨/NNB+는/JX
누워서	눕/VV+어서/EC
대필	대필/NNG
해주는	하/VV+여/EC+주/VX+는/ETM
감독관과	감독관/NNG+과/JC
함께	함께/MAG
문제를	문제/NNG+를/JKO
풀어나갔다	풀/VV+어/EC+나가/VX+았/EP+다/EF

대필자는	대필자/NNP+는/JX
시험지를	시험지/NNG+를/JKO
누워있는	눕/VV+어/EC+있/VX+는/ETM
김씨에게	김/NNP+씨/NNB+에게/JKB
보여주고,	보이/VV+어/EC+주/VX+고/EC+,/SP
오지선다형	오지선다/NNG+형/XSN
문제를	문제/NNG+를/JKO
하나씩	하나/NR+씩/XSN
가리키며	가리키/VV+며/EC
김씨가	김/NNP+씨/NNB+가/JKS
“예”라고	“/SN+예”/NNG+이/VCP+라고/EC
하는	하/VV+는/ETM
부분에	부분/NNG+에/JKB
답	답/NNG
표시를	표시/NNG+를/JKO
했다	하/VV+였/EP+다/EC

그런	그런/MM
방법으로	방법/NNG+으로/JKB
6교시까지	6/SN+교시/NNG+까지/JX
풀어나갔다	풀어나가/VV+았/EP+다/EF

“특수학교에서	“/SL+특수학교/NNG+에서/JKB
시험을	시험/NNG+을/JKO
봤는데,	보/VV+았/EP+는데/EC+,/SP
다른	다른/MM
분들은	분/NNB+들/XSN+은/JX
거의	거의/MAG
전동휠체어를	전동휠체어/NNG+를/JKO
타시는	타/VV+시/EP+는/ETM
지체	지체/NNG
장애인이셨어요	장애인/NNG+이/VCP+시었/EP+어요/EC

아무래도	아무래도/MAG
손으로	손/NNG+으로/JKB
푸시는	푸시/VV+는/ETM
분들보다	분/NNB+들/XSN+보다/JKB
저는	저/NP+는/JX
더	더/MAG
힘겨울	힘겹/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었어요	없/VA+었/EP+어요/EC

시간이	시간/NNG+이/JKS
아슬아슬했지만	아슬아슬하/VA+었/EP+지만/EC
다행히	다행히/MAG
제시간에	제시간/NNG+에/JKB
맞춰서	맞추/VV+어서/EC
시험지를	시험지/NNG+를/JKO
제출했어요	제출하/VV+였/EP+어요/EC

”야학에서	”/SN+야학/NNG+에서/JKB
1등으로	1/SN+등/NNB+으로/JKB
시험에	시험/NNG+에/JKB
붙었다는	붙/VV+었/EP+다는/ETM
김씨는	김/NNP+씨/NNB+는/JX
앞으로	앞/NNG+으로/JKB
대입	대입/NNG
검정고시(고졸	검정고시/NNG+(/SS+고졸/NNG
검정고시)에도	검정고시/NNG+)/SS+에/JKB+도/JX
도전할	도전하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

그는	그/NP+는/JX
“대학에	“/SL+대학/NNG+에/JKB
들어가	들어가/VV+아/EC
몸이	몸/NNG+이/JKS
아픈	아프/VA+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
보조기기를	보조기기/NNG+를/JKO
만들고	만들/VV+고/EC
싶어	싶/VX+어/EC
기계공학을	기계공학/NNG+을/JKO
전공하고	전공하/VV+고/EC
싶고,	싶/VX+고/EC+,/SP
마음이	마음/NNG+이/JKS
아픈	아프/VA+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
심리치료도	심리치료/NNG+도/JX
겸하고	겸하/VV+고/EC
싶어	싶/VX+어/EC
심리학과에도	심리학과/NNG+에/JKB+도/JX
진학하고	진학하/VV+고/EC
싶다”고	싶/VX+다”고/EC
포부를	포부/NNG+를/JKO
밝혔다	밝히/VV+었/EP+다/EC

마지막으로	마지막/NNG+으로/JKB
김씨는	김/NNP+씨/NNB+는/JX
“주변에	“/SL+주변/NNG+에/JKB
공부를	공부/NNG+를/JKO
하고	하/VV+고/EC
싶어	싶/VX+어/EC
하는	하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
많지만	많/VA+지만/EC
사실	사실/MAG
장애인이	장애인/NNG+이/JKS
공부할	공부하/VV+ㄹ/ETM
만한	만하/VX+ㄴ/ETM
야학	야학/NNG
같은	같/VA+은/ETM
것이	것/NNB+이/JKS
너무나	너무나/MAG
적어요	적/VA+어요/EF

지역별로	지역/NNG+별/XSN+로/JKB
장애특성에	장애특성/NNG+에/JKB
맞는	맞/VV+는/ETM
야학이	야학/NNG+이/JKS
많아졌으면	많아지/VV+었/EP+으면/EC
좋겠어요	좋/VA+겠/EP+어요/EC

많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
저를	저/NP+를/JKO
보고	보/VV+고/EC
꿈과	꿈/NNG+과/JC
희망을	희망/NNG+을/JKO
가졌으면	가지/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
