세종대왕도	세종/NNP+대왕/NNG+도/JX
교과부는	교과부/NNG+는/JX
420공투단이	420/SN+공투/NNG+단/XSN+이/JKS
집중적으로	집중적/NNG+으로/JKB
요구했던	요구하/VV+였/EP+던/ETM
“청각장애인	“/SL+청각장애인/NNG
교육을	교육/NNG+을/JKO
근본적으로	근본적/NNG+으로/JKB
개선할	개선하/VV+ㄹ/ETM
방안을	방안/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것”,	것/NNB+”/SL+,/SP
“청각장애	“/SL+청각장애/NNG
아동의	아동/NNG+의/JKG
언어선택권을	언어선택권/NNG+을/JKO
보장할	보장하/VV+ㄹ/ETM
것”,	것/NNB+”/SL+,/SP
“수화를	“/SL+수화/NNG+를/JKO
언어로	언어/NNG+로/JKB
인정받기	인정받/VV+기/ETN
위해	위하/VV+여/EC
수화	수화/NNG
과목을	과목/NNG+을/JKO
일반교과	일반교과/NNG
과정에	과정/NNG+에/JKB
제2외국어로	제/XPN+2/SN+외국어/NNG+로/JKB
채택할	채택하/VV+ㄹ/ETM
것”	것/NNB+”/SL
등에	등/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
답변을	답변/NNG+을/JKO
회피하고	회피하/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB

출범식에	출범식/NNG+에/JKB
참석해	참석하/VV+여/EC
수화언어권	수화언어/NNG+권/XSN
확보를	확보/NNG+를/JKO
외치는	외치/VV+는/ETM
장애인	장애인/NNG

수화언어권	수화언어/NNG+권/XSN
공대위는	공대위/NNP+는/JX
출범선언문을	출범선언문/NNG+을/JKO
통해	통하/VV+여/EC
“청각장애인	“/SL+청각장애인/NNG
교육의	교육/NNG+의/JKG
문제는	문제/NNG+는/JX
청각장애	청각장애/NNG
아동기부터	아동기/NNG+부터/JX
수화교육을	수화교육/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
수화조기교육이	수화조기교육/NNG+이/JKS
제도화	제도화/NNG
되어야	되/VV+어야/EC
하며,	하/VX+며/EC+,/SP
초등학교에서부터	초등학교/NNG+에서부터/JKB
수화통역사	수화통역사/NNG
지원이	지원/NNG+이/JKS
정착되어야	정착되/VV+어야/EC
한다”며	하/VX+ㄴ다”며/EC
“수화를	“/SL+수화/NNG+를/JKO
한국어나	한국어/NNP+나/JC
영어,	영어/NNP+,/SP
일어	일어/NNP
등과	등/NNB+과/JKB
동등한	동등하/VA+ㄴ/ETM
자격을	자격/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
언어라는	언어/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
법률에	법률/NNG+에/JKB
명시하고,	명시하/VV+고/EC+,/SP
제도화해야	제도화하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
촉구했다	촉구하/VV+였/EP+다/EC

대전드림장애인인권센터	대전드/NNP+림장애인인권센터/NNG
박흥기	박흥기/NNP
대표는	대표/NNG+는/JX
대전	대전/NNP
성남초등학교에서	성남초등학교/NNP+에서/JKB
농학생들이	농학생/NNG+들/XSN+이/JKS
교육권을	교육권/NNG+을/JKO
박탈당하고	박탈/NNG+당하/XSV+고/EC
있다고	있/VX+다고/EC
폭로했다	폭로하/VV+였/EP+다/EC

박	박/NNP
대표는	대표/NNG+는/JX
“성남초등학교에	“/SL+성남초등학교/NNP+에/JKB
농학생	농학생/NNG
2명이	2/SN+명/NNB+이/JKS
다니고	다니/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
수화를	수화/NNG+를/JKO
잘	잘/MAG
못하는	못하/VV+는/ETM
엉터리	엉터리/NNG
수화통역사를	수화통역사/NNG+를/JKO
배치해서	배치하/VV+여서/EC
의사소통에	의사소통/NNG+에/JKB
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
많다	많/VA+다/EF

걸어다니는	걷/VV+어/EC+다니/VV+는/ETM
다리를	다리/NNG+를/JKO
뜻하는	뜻하/VV+는/ETM
단어를	단어/NNG+를/JKO
건너는	건너/VV+는/ETM
다리로	다리/NNG+로/JKB
통역하는	통역하/VV+는/ETM
등	등/NNB
전문가적인	전문가/NNG+적/XSN+이/VCP+ㄴ/ETM
면이	면/NNG+이/JKS
전혀	전혀/MAG
없다”며	없/VA+다/EC+”/VX+며/EC
“통역사	“/SL+통역사/NNG
재배치를	재배치/NNG+를/JKO
수차례	수차례/NNG
요구했음에도	요구하/VV+였/EP+음/ETN+에/JKB+도/JX
교육청에서는	교육청/NNG+에서/JKB+는/JX
예산이	예산/NNG+이/JKS
없다는	없/VA+다는/ETM
핑계로	핑계/NNG+로/JKB
회피하고	회피하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
박	박/NNP
대표는	대표/NNG+는/JX
“의사소통에	“/SL+의사소통/NNG+에/JKB
문제가	문제/NNG+가/JKS
있음에도	있/VA+음/ETN+에/JKB+도/JX
말을	말/NNG+을/JKO
못하는	못하/VV+는/ETM
농아인들은	농아인/NNG+들/XSN+은/JX
부모들에게	부모/NNG+들/XSN+에게/JKB
조차	조차/JX
말을	말/NNG+을/JKO
못해	못하/VV+여/EC
혼자	혼자/NNG
끙끙	끙끙/MAG
앓고	앓/VV+고/EC
있었다”며	있/VX+었/EP+다/EC+”/VX+며/EC
“농아학생들을	“/SL+농아학생/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
전문수화통역사는	전문수화통역사/NNG+는/JX
물론,	물론/MAG+,/SP
차별받지	차별/NNG+받/VV+지/EC
않고	않/VX+고/EC
학습할수	학습하/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
교육권이	교육권/NNG+이/JKS
확보돼야	확보되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
수화언어권	수화언어/NNG+권/XSN
공대위는	공대위/NNP+는/JX
출범식을	출범식/NNG+을/JKO
마친뒤	마치/VV+ㄴ/ETM+뒤/NNG
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
수화의	수화/NNG+의/JKG
법적지위를	법적지위/NNG+를/JKO
촉구하는	촉구하/VV+는/ETM
수화언어	수화언어/NNG
인증식	인증식/NNG
퍼포먼스를	퍼포먼스/NNG+를/JKO
진행했으며,	진행하/VV+였/EP+으며/EC+,/SP
교과부로	교과부/NNG+로/JKB
이동해	이동하/VV+여/EC
국무총리와의	국무총리/NNG+와/JKB+의/JKG
면담요청서를	면담요청서/NNG+를/JKO
전달했다	전달하/VV+였/EP+다/EC

14일	14/SN+일/NNB
광화문광장	광화문/NNP+광장/NNG
세종대왕	세종/NNP+대왕/NNG
동상앞에서	동상앞/NNG+에서/JKB
출범식을	출범식/NNG+을/JKO
진행한	진행하/VV+ㄴ/ETM
수화언어권	수화언어/NNG+권/XSN
공대위	공대위/NNP
