미국	미국/NNP
테크날러지가	테크날러지/NNG+가/JKS
검증되지	검증되/VV+지/EC
않은	않/VX+은/ETM
점이	점/NNG+이/JKS
지적	지적/NNG
받고	받/VV+고/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

이는	이/NP+는/JX
특수교육이	특수교육/NNG+이/JKS
사람을	사람/NNG+을/JKO
상대로	상대/NNG+로/JKB
하는	하/VV+는/ETM
교육인만큼	교육/NNG+인/XSN+만큼/JX
잘못	잘못/MAG
쓰여질	쓰이/VV+어/EC+지/VX+ㄹ/ETM
경우	경우/NNG
큰	크/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
야기	야기/NNG
시킬	시키/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있는	있/VA+는/ETM
것이다	것/NNB+이/VCP+다/EC

그	그/MM
외에도	외/NNB+에/JKB+도/JX
온라인	온라인/NNG
클래스의	클래스/NNG+의/JKG
규정의	규정/NNG+의/JKG
불안정,	불안정/NNG+,/SP
교사	교사/NNG
트레이닝의	트레이닝/NNG+의/JKG
질문	질문/NNG
사항,	사항/NNG+,/SP
접근	접근/NNG
방법	방법/NNG
등이	등/NNB+이/JKS
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
문제로	문제/NNG+로/JKB
지적됐다	지적되/VV+었/EP+다/EF

10월	10/SN+월/NNB
초	초/NNB
국가	국가/NNG
특수교육협회가	특수교육협회/NNG+가/JKS
스페셜	스페셜/NNG
테크날러지라는	테크날러지/NNG+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
공개된	공개되/VV+ㄴ/ETM
조사단의	조사단/NNG+의/JKG
공개	공개/NNG
서한에	서한/NNG+에/JKB
보면	보/VV+면/EC
‘우후	‘/SL+우후/NNG
죽순처럼	죽순/NNG+처럼/JKB
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
특수교육	특수교육/NNG
온라인	온라인/NNG
클래스를	클래스/NNG+를/JKO
이제	이제/MAG
신중하게	신중하/VA+게/EC
검토해야할	검토하/VV+여야/EC+하/VX+ㄹ/ETM
때’	때/NNG+’/SN
라며	라/SN+며/EC
조사에	조사/NNG+에/JKB
강력한	강력하/VA+ㄴ/ETM
의지를	의지/NNG+를/JKO
보이기도	보이/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

또한	또한/MAG
공개	공개/NNG
서한은	서한/NNG+은/JX
협회	협회/NNG
뿐만이	뿐만/JX+이/JKC
아니라	아니/VCN+라/EC
온라인에서	온라인/NNG+에서/JKB
특수교육을	특수교육/NNG+을/JKO
받으려는	받/VV+으려는/ETM
학생들도	학생/NNG+들/XSN+도/JX
신중을	신중/NNG+을/JKO
기해서	기하/VV+여서/EC
클래스를	클래스/NNG+를/JKO
조사한	조사하/VV+ㄴ/ETM
후에	후/NNG+에/JKB
수업을	수업/NNG+을/JKO
시작할	시작하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
