“IT강국	“IT/SL+강국/NNG
혼자서	혼자/NNG+서/JKS
걷지	걷/VV+지/EC
못해	못하/VX+여/EC
어머니의	어머니/NNG+의/JKG
등을	등/NNG+을/JKO
빌려	빌리/VV+어/EC
일반학교에서	일반학교/NNG+에서/JKB
통합교육을	통합교육/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
고씨가	고/NNP+씨/NNB+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
벽에	벽/NNG+에/JKB
부딪혔던	부딪허/VV+였/EP+던/ETM
순간은	순간/NNG+은/JX
바로	바로/MAG
대학	대학/NNG
진학	진학/NNG

자신과	자신/NNG+과/JKB
같은	같/VA+은/ETM
장애인을	장애인/NNG+을/JKO
도와주는	도와주/VV+는/ETM
사람이	사람/NNG+이/JKC
되고	되/VV+고/EC
싶어	싶/VX+어/EC
선택한	선택하/VV+ㄴ/ETM
의대였지만,	의대/NNG+이/VCP+었/EP+지만/EC+,/SP
대학은	대학/NNG+은/JX
그의	그/NP+의/JKG
원서조차	원서/NNG+조차/JX
받아주지	받/VV+아/EC+주/VX+지/EC
않았다	않/VX+았/EP+다/EF

고씨는	고/NNP+씨/NNB+는/JX
“나처럼	“/SN+나/NP+처럼/JKB
힘들고	힘들/VA+고/EC
어려운	어렵/VA+ㄴ/ETM
사람이	사람/NNG+이/JKC
되고	되/VV+고/EC
싶어서	싶/VX+어서/EC
의사가	의사/NNG+가/JKC
되고	되/VV+고/EC
싶었고,	싶/VX+었/EP+고/EC+,/SP
의대를	의대/NNG+를/JKO
지망했다	지망하/VV+였/EP+다/EC

하지만	하지만/MAJ
의대에서는	의대/NNG+에서/JKB+는/JX
장애인은	장애인/NNG+은/JX
입학이	입학/NNG+이/JKS
불가능하다고	불가능하/VA+다고/EC
통보했다”며	통보하/VV+였/EP+다/EC+”/VX+며/EC
“그	“/SN+그/MM
뒤로	뒤/NNG+로/JKB
의대의	의대/NNG+의/JKG
문은	문/NNG+은/JX
닫혀버리고,	닫허/VV+어/EF+버리/VX+고/EC+,/SP
어린	어리/VA+ㄴ/ETM
나는	나/NP+는/JX
이불을	이불/NNG+을/JKO
뒤집어	뒤집/VV+어/EC
쓰고	쓰/VV+고/EC
좌절할	좌절하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다”고	없/VA+었/EP+다”고/EC
말했다	말하/VV+였/EP+다/EC

문을	문/NNG+을/JKO
닫아버린	닫/VV+아/EC+버리/VX+ㄴ/ETM
의대를	의대/NNG+를/JKO
포기하고	포기하/VV+고/EC
선택한	선택하/VV+ㄴ/ETM
문과	문과/NNG

그저	그저/MAG
경쟁률이	경쟁률/NNG+이/JKS
낮다는	낮/VA+다는/ETM
이유로	이유/NNG+로/JKB
아버지가	아버지/NNG+가/JKS
넣어주신	넣/VV+어/EC+주/VX+시/EP+ㄴ/ETM
국문과	국문/NNG+과/JC
입학원서가	입학원서/NNG+가/JKS
그의	그/NP+의/JKG
일생을	일생/NNG+을/JKO
바꿔놓았다	바꾸/VV+어/EC+놓/VX+았/EP+다/EF

성균관대학교	성균관대학교/NNP
국문학과를	국문학과/NNG+를/JKO
진학한	진학하/VV+ㄴ/ETM
이후	이후/NNG
석사와	석사/NNG+와/JC
박사과정을	박사과정/NNG+을/JKO
밟으며,	밟/VV+으며/EC+,/SP
고씨는	고/NNP+씨/NNB+는/JX
베스트셀러	베스트셀러/NNG
작가의	작가/NNG+의/JKG
입지를	입지/NNG+를/JKO
탄탄히	탄탄히/MAG
굳혔다	굳히/VV+었/EP+다/EC

그의	그/NP+의/JKG
저서	저서/NNG
‘가방들어주는아이’는	‘/SN+가방/NNG+들/VV+어/EC+주/VX+는아/EC+히/MAG+’/SL+는/JX
MBC	MBC/SL
느낌표에서	느낌표/NNG+에서/JKB
선정돼	선정되/VV+어/EC
100만부를	100/SN+만/NR+부/NNB+를/JKO
돌파하며	돌파하/VV+며/EC
작가로서의	작가/NNG+로서/JKB+의/JKG
정점도	정점/NNG+도/JX
맛보았다	맛보/VV+았/EP+다/EF

고씨는	고/NNP+씨/NNB+는/JX
“제	“/SN+제/NNB
인생에서	인생/NNG+에서/JKB
가장	가장/MAG
통쾌했던	통쾌하/VA+였/EP+던/ETM
순간은	순간/NNG+은/JX
바로	바로/MAG
음지에서	음지/NNG+에서/JKB
양지가	양지/NNG+가/JKC
됐을	되/VV+었/EP+을/ETM
때,	때/NNG+,/SP
장애인이	장애인/NNG+이/JKS
교육을	교육/NNG+을/JKO
받아서	받/VV+아서/EC
성공해서	성공하/VV+여서/EC
남을	남/NNG+을/JKO
도울	돕/VV+ㄹ/ETM
때다	때/NNG+이/VCP+다/EF

열심히	열심히/MAG
장애인의	장애인/NNG+의/JKG
편견을	편견/NNG+을/JKO
깨기	깨/VV+기/ETN
위한	위하/VV+ㄴ/ETM
책을	책/NNG+을/JKO
썼고,	쓰/VV+었/EP+고/EC+,/SP
그	그/MM
수익을	수익/NNG+을/JKO
장애인들을	장애인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
기부도	기부/NNG+도/JX
했다”며	하/VV+였/EP+다/EC+”/VV+며/EC
“이	“/SL+이/JKS
모든	모든/MM
것을	것/NNB+을/JKO
이룰	이루/VV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
것은	것/NNB+은/JX
바로	바로/MAG
교육의	교육/NNG+의/JKG
힘이다	힘/NNG+이/VCP+다/EC

힘들었던	힘들/VA+었/EP+던/ETM
장애인	장애인/NNG
차별을	차별/NNG+을/JKO
이겨내고	이기/VV+어/EC+내/VX+고/EC
여기까지	여기/NP+까지/JX
오기에	오/VV+기에/EC
노력을	노력/NNG+을/JKO
많이	많이/MAG
했다”고	하/VV+였/EP+다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
고씨는	고/NNP+씨/NNB+는/JX
“장애인	“/SL+장애인/NNG
후배들의	후배/NNG+들/XSN+의/JKG
교육을	교육/NNG+을/JKO
위해	위하/VV+여/EC
IT정보기기	IT/SL+정보기기/NNG
보급을	보급/NNG+을/JKO
아끼지	아끼/VV+지/EC
말아야	말/VX+아야/EC
한다	하/VX+ㄴ다/EF

적극적으로	적극적/NNG+으로/JKB
비장애인과	비장애인/NNG+과/JKB
뒤지지	뒤지/VV+지/EC
않을	않/VX+을/ETM
정도의	정도/NNG+의/JKG
교육을	교육/NNG+을/JKO
시킨다면	시키/VV+ㄴ다면/EC
나보다	나/NP+보다/JKB
더욱	더욱/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“장애인에	“/SL+장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
편견을	편견/NNG+을/JKO
깰수	깨/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
열심히	열심히/MAG
작품하고,	작품하/VV+고/EC+,/SP
언젠가는	언젠가/MAG+는/JX
장애인	장애인/NNG
최초의	최초/NNG+의/JKG
노벨문학상을	노벨/NNP+문학상/NNG+을/JKO
받는	받/VV+는/ETM
것이	것/NNB+이/JKS
나의	나/NP+의/JKG
꿈이다”라고	꿈/NNG+이/VCP+다”라고/EC
강조했다	강조하/VV+였/EP+다/EC
