‘포항	‘/SL+포항/NNG
“포항시가	“/SL+포항시/NNP+가/JKS
이	이/MM
서명지를	서명/NNG+지/XSN+를/JKO
접수한	접수하/VV+ㄴ/ETM
후	후/NNG
부터는	부터/NNP+는/JX
포항시의회와	포항시의회/NNP+와/JKB
함께	함께/MAG
성인	성인/NNG
중증장애인	중증장애인/NNG
평생교육에	평생교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제를	문제/NNG+를/JKO
적극적으로	적극적/NNG+으로/JKB
해결하고,	해결하/VV+고/EC+,/SP
평생교육	평생교육/NNG
지원	지원/NNG
조례가	조례/NNG+가/JKS
제정될	제정되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기대한다”며	기대하/VV+ㄴ다/EF+”/SN+며/EC
“평생교육	“/SL+평생교육/NNG
지원	지원/NNG
조례가	조례/NNG+가/JKS
포항시의회에	포항시의회/NNP+에/JKB
통과되고,	통과되/VV+고/EC+,/SP
중증장애인평생교육원이	중증장애인평생교육/NNG+원/XSN+이/JKS
운영될	운영되/VV+ㄹ/ETM
때	때/NNG
까지	까지/JX
계속	계속/MAG
활동을	활동/NNG+을/JKO
전개해	전개하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

추진위는	추진위/NNG+는/JX
오는	오/VV+는/ETM
16일	16/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
포항시청	포항시청/NNP
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
‘포항시	‘/SL+포항시/NNP
성인	성인/NNG
중증장애인	중증장애인/NNG
평생교육	평생교육/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례’	조례/NNG+’/SL
주민발의	주민발의/NNG
서명지	서명/NNG+지/XSN
전달	전달/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
포항시에	포항시/NNP+에/JKB
서명지를	서명/NNG+지/XSN+를/JKO
전달할	전달하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
