경진학교	경진학교/NNG
사례에	사례/NNG+에/JKB
따르면	따르/VV+면/EC
A교사는	A/SL+교사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
여학생을	여학생/NNG+을/JKO
밀어	밀/VV+어/EC
바닥에	바닥/NNG+에/JKB
머리를	머리/NNG+를/JKO
찧게	찧/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
담당	담당/NNG
학급	학급/NNG
학생	학생/NNG
5명에게	5/SN+명/NNB+에게/JKB
여러	여러/MM
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
가혹행위를	가혹행위/NNG+를/JKO
했다	하/VV+였/EP+다/EF

이밖에	이/NP+밖에/JX
급소를	급소/NNG+를/JKO
구둣발로	구둣발/NNG+로/JKB
걷어찬	걷어차/VV+ㄴ/ETM
경우	경우/NNG
머리를	머리/NNG+를/JKO
각목으로	각목/NNG+으로/JKB
여러	여러/MM
차례	차례/NNG
때린	때리/VV+ㄴ/ETM
경우	경우/NNG
'말을	'/SS+말/NNG+을/JKO
듣지	듣/VV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/JX
이유로	이유/NNG+로/JKB
손발을	손발/NNG+을/JKO
의자에	의자/NNG+에/JKB
묶는	묶/VV+는/ETM
경우	경우/NNG
등	등/NNB
2007년부터	2007/SN+년/NNB+부터/JX
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
여러	여러/MM
교사의	교사/NNG+의/JKG
가혹행위가	가혹행위/NNG+가/JKS
잇따랐다고	잇따라/VV+았/EP+다고/EC
학부모들은	학부모/NNG+들/XSN+은/JX
주장했다	주장하/VV+였/EP+다/EC

학부모회는	학부모회/NNG+는/JX
"학교를	"/SS+학교/NNG+를/JKO
직접	직접/MAG
관리하는	관리하/VV+는/ETM
교육과학기술부	교육과학기술부/NNG
해당	해당/NNG
과에	과/NNG+에/JKB
수없이	수없이/MAG
민원을	민원/NNG+을/JKO
넣었으나	넣/VV+었/EP+으나/EC
묵묵부답"이라며	묵묵부답/NNG+"/SS+이/VCP+라며/EC
"학대당하고도	"/SS+학대/NNG+당하/XSV+고도/EC
아무	아무/MM
말도	말/NNG+도/JX
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
아이들을	아이/NNG+들/XSN+을/JKO
대신해	대신하/VV+여/EC
거리로	거리/NNG+로/JKB
나와야	나오/VV+아야/EC
하는	하/VX+는/ETM
부모들의	부모/NNG+들/XSN+의/JKG
심정을	심정/NNG+을/JKO
알아	알/VV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
호소했다	호소하/VV+었/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
교과부는	교과부/NNG+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
4월1일	4/SN+월/NNB+1/SN+일/NNB
학교	학교/NNG
측이	측/NNB+이/JKS
이	이/MM
문제를	문제/NNG+를/JKO
알려와	알리/VV+어/EC+오/VX+아/EC
4월2일	4/SN+월/NNB+2/SN+일/NNB
현장	현장/NNG
조사에서	조사/NNG+에서/JKB
중징계를	중징계/NNG+를/JKO
하라는	하/VV+라는/ETM
방침을	방침/NNG+을/JKO
전달한	전달하/VV+ㄴ/ETM
바	바/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"인권위의	"/SS+인권위/NNG+의/JKG
조사결과가	조사결과/NNG+가/JKS
나오면	나오/VV+면/EC
추가	추가/NNG
조치를	조치/NNG+를/JKO
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

교과부	교과부/NNG
관계자는	관계자/NNG+는/JX
"해당	"/SS+해당/NNG
교사는	교사/NNG+는/JX
일단	일단/MAG
10월말	10/SN+월말/NNB
복귀하더라도	복귀하/VV+더라도/EC
계속	계속/MAG
직위해제	직위해제/NNG
상태를	상태/NNG+를/JKO
유지하며	유지하/VV+며/EC
학생들을	학생/NNG+들/XSN+을/JKO
가르치는	가르치/VV+는/ETM
업무에서는	업무/NNG+에서/JKB+는/JX
배제될	배제되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

pulse@yna	pulse/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
