포항시민	포항/NNP+시민/NNG
추진위	추진위/NNG
최외철	최외철/NNP
대표는	대표/NNG+는/JX
“포항시의	“/SL+포항시/NNP+의/JKG
의지에	의지/NNG+에/JKB
따라	따르/VV+아/EC
조례안이	조례안/NNG+이/JKS
의결될	의결되/VV+ㄹ/ETM
수도,	수/NNB+도/JX+,/SP
폐기될	폐기되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”면서도	있/VA+다”면서/EC+도/JX
“8천여명이	“/SL+8/SN+천/NR+여/XSN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
주민들의	주민/NNG+들/XSN+의/JKG
서명을	서명/NNG+을/JKO
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
만큼	만큼/NNB
포항시에서도	포항시/NNP+에서/JKB+도/JX
(조례에	(/SS+조례/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
반대	반대/NNG
의견을	의견/NNG+을/JKO
내기에는	내/VV+기/ETN+에/JKB+는/JX
어려움이	어려움/NNG+이/JKS
따를	따르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

포항시	포항시/NNP
관계자는	관계자/NNG+는/JX
“(서명지와	“/SL+(/SS+서명/NNG+지/XSN+와/JC
조례안을)	조례안/NNG+을/JKO+)/SS
받아	받/VV+아/EC
확인	확인/NNG
작업	작업/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
청구인	청구/NNG+이/VCP+ㄴ/ETM
자격	자격/NNG
요건이나	요건/NNG+이나/JC
심사를	심사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
여러	여러/MM
절차가	절차/NNG+가/JKS
남아	남/VV+아/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"시가	"/SS+시가/NNG
조례안을	조례안/NNG+을/JKO
살펴볼	살펴보/VV+ㄹ/ETM
때	때/NNG
타당성이	타당성/NNG+이/JKS
있다,	있/VA+다/EC+,/SP
예산	예산/NNG
상	상/NNG
무리다	무리/NNG+이/VCP+다/EF
등의	등/NNB+의/JKG
의견을	의견/NNG+을/JKO
내	내/VV+어/EC
지방의회로	지방의회/NNG+로/JKB
올리거나	올리/VV+거나/EC
각하할	각하하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
집행부(포항시)가	집행부/NNG+(/SS+포항시/NNP+)/SS+가/JKS
생각하는	생각하/VV+는/ETM
거랑	거랑/NNG
시민의	시민/NNG+의/JKG
대표인	대표/NNG+이/VCP+ㄴ/ETM
지방의회의	지방의회/NNG+의/JKG
의견이	의견/NNG+이/JKS
다를	다르/VA+ㄹ/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
지방의회로	지방의회/NNG+로/JKB
올라갈	올라가/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높다	높/VA+다/EC

늦어도	늦/VA+어도/EC
11월	11/SN+월/NNB
중순까지	중순/NNG+까지/JX
시의회로	시의회/NNG+로/JKB
올라갈	올라가/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
