'무리하더니..'	'/SS+무리하/VV+더니/EF+../SF+'/SS
상대로	상대/NNG+로/JKB
민사소송을	민사소송/NNG+을/JKO
제기,	제기/NNG+,/SP
법적	법적/NNG
문제가	문제/NNG+가/JKS
걸렸기	걸리/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

소송이	소송/NNG+이/JKS
언제	언제/MAG
끝날지	끝나/VV+ㄹ지/EC
모를	모르/VV+ㄹ/ETM
판에	판/NNB+에/JKB
문제의	문제/NNG+의/JKG
학교부지에	학교부지/NNG+에/JKB
공공기관을	공공기관/NNG+을/JKO
건립하는	건립하/VV+는/ETM
것이	것/NNB+이/JKS
불가능하다는	불가능하/VA+다는/ETM
판단에서다	판단/NNG+에서다/JKB

장휘국	장휘국/NNG
교육감은	교육감/NNG+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
인화학교법인	인화학교법인/NNG
처리와	처리/NNG+와/JKB
관련한	관련하/VV+ㄴ/ETM
기자회견에서	기자회견/NNG+에서/JKB
장애학생	장애학생/NNG
체험시설	체험시설/NNG
등	등/NNB
특수교육지원센터	특수교육지원센터/NNG
활용	활용/NNG
계획을	계획/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

이후	이후/NNG
시	시/NNG
교육청은	교육청/NNG+은/JX
이곳을	이곳/NP+을/JKO
지원센터	지원센터/NNG
예정부지로	예정부지/NNG+로/JKB
사실상	사실상/NNG
내정하고	내정하/VV+고/EC
예산편성,	예산편성/NNG+,/SP
전담반	전담반/NNG
설치	설치/NNG
등	등/NNB
사업을	사업/NNG+을/JKO
밀어붙였다	밀어붙이/VV+었/EP+다/EF

그러다	그러/VV+다/EC
시의회,	시의회/NNG+,/SP
장애학생	장애학생/NNG
학부모,	학부모/NNG+,/SP
단체	단체/NNG
관계자	관계자/NNG
등의	등/NNB+의/JKG
반대	반대/NNG
의견이	의견/NNG+이/JKS
적지	적/VA+지/EC
않아	않/VX+아/EC
부지	부지/NNG
적절성	적절/NNG+성/XSN
논란이	논란/NNG+이/JKS
일었다	일/VV+었/EP+다/EF

이들은	이/NP+들/XSN+은/JX
접근성이	접근성/NNG+이/JKS
불리하고	불리하/VA+고/EC
영화	영화/NNG
'도가니'	'/SS+도가니/NNG+'/SS
등	등/NNB
사회적	사회적/NNG
큰	크/VA+ㄴ/ETM
파문을	파문/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
학교에	학교/NNG+에/JKB
센터를	센터/NNG+를/JKO
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
아픈	아프/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
다시	다시/MAG
건드릴	건드리/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
지적했다	지적하/VV+였/EP+다/EF

여기에	여기/NP+에/JKB
교육감	교육감/NNG
한마디에	한마디/NNG+에/JKB
밀어붙이기식	밀어붙이/VV+기/ETN+식/XSN
사업	사업/NNG
추진을	추진/NNG+을/JKO
한	한/MM
졸속	졸속/NNG
행정에	행정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반발도	반발/NNG+도/JX
한몫을	한몫/NNG+을/JKO
했다	하/VV+였/EP+다/EF

시의회는	시의회/NNG+는/JX
교육청이	교육청/NNG+이/JKS
편성한	편성하/VV+ㄴ/ETM
예산	예산/NNG
63억원을	63/SN+억/NR+원/NNB+을/JKO
전액	전액/NNG
삭감하기도	삭감하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

논란이	논란/NNG+이/JKS
적지	적/VA+지/EC
않은	않/VX+은/ETM
곳에	곳/NNG+에/JKB
추진하려다	추진하/VV+려다/EC
시간만	시간/NNG+만/JX
허비했다는	허비하/VV+였/EP+다는/ETM
지적을	지적/NNG+을/JKO
떠안게	떠안/VV+게/EC
됐다	되/VV+었/EP+다/EC

지원센터는	지원센터/NNG+는/JX
장애학생	장애학생/NNG
진단과	진단/NNG+과/JC
평가,	평가/NNG+,/SP
교수학습	교수학습/NNG
지원,	지원/NNG+,/SP
진로직업	진로직업/NNG
교육	교육/NNG
등	등/NNB
특수교육	특수교육/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시스템을	시스템/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

시의회	시의회/NNG
박인화	박인화/NNP
의원은	의원/NNG+은/JX
"애초부터	"/SS+애초/NNG+부터/JX
문제가	문제/NNG+가/JKS
있던	있/VA+던/ETM
곳인데	곳/NNG+이/VCP+ㄴ데/EC
무리하게	무리하/VV+게/EC
추진한	추진하/VV+ㄴ/ETM
결과가	결과/NNG+가/JKS
결국	결국/NNG
사업	사업/NNG
지연만	지연/NNG+만/JX
초래한	초래하/VV+ㄴ/ETM
꼴이	꼴/NNG+이/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
지적했다	지적하/VV+였/EP+다/EF

시	시/NNG
교육청	교육청/NNG
관계자는	관계자/NNG+는/JX
"이달	"/SS+이달/NNG
중순께	중순/NNG+께/XSN
후보지를	후보지/NNG+를/JKO
확정하고	확정하/VV+고/EC
추경에	추경/NNG+에/JKB
예산을	예산/NNG+을/JKO
반영할	반영하/VV+ㄹ/ETM
계획이다"고	계획/NNG+이/VCP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

nicepen@yna	nicepen/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
