'117'	'/SS+117/SN+'/SS
피해학생의	피해학생/NNG+의/JKG
요구사항을	요구사항/NNG+을/JKO
반영한	반영하/VV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
치안서비스도	치안서비스/NNG+도/JX
제공된다	제공되/VV+ㄴ다/EF

'117'로	'/SS+117/SN+'/SS+로/JKB
신고된	신고되/VV+ㄴ/ETM
사안은	사안/NNG+은/JX
117신고센터	117/SN+신고센터/NNG
차원의	차원/NNG+의/JKG
상담뿐	상담/NNG+뿐/JX
아니라,	아니/VCN+라/EC+,/SP
신고자가	신고자/NNG+가/JKS
원하는	원하/VV+는/ETM
경우	경우/NNG
가까운	가깝/VA+ㄴ/ETM
Wee센터,	Wee/SL+센터/NNG+,/SP
청소년상담지원센터(CYS-Net)	청소년상담지원센터/NNG+(/SS+CYS/SL+-/SO+Net/SL+)/SS
등	등/NNB
전문상담기관을	전문상담기관/NNG+을/JKO
연결해	연결하/VV+여/EC
심층상담도	심층상담/NNG+도/JX
제공한다	제공하/VV+ㄴ다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
사안의	사안/NNG+의/JKG
처리결과를	처리결과/NNG+를/JKO
해당	해당/NNG
학교에도	학교/NNG+에/JKB+도/JX
통보해	통보하/VV+여/EC
학교	학교/NNG
차원에서	차원/NNG+에서/JKB
학교폭력	학교폭력/NNG
사안처리	사안처리/NNG
및	및/MAG
학생생활지도에	학생생활지도/NNG+에/JKB
활용하도록	활용하/VV+도록/EC
할	하/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

앞서	앞서/MAG
부처별로	부처/NNG+별/XSN+로/JKB
산재되어	산재되/VV+어/EC
있던	있/VX+던/ETM
학교폭력	학교폭력/NNG
신고번호를	신고번호/NNG+를/JKO
경찰청	경찰청/NNG
'117'로	'/SS+117/SN+'/SS+로/JKB
일원화해	일원화하/VV+여/EC
운영한	운영하/VV+ㄴ/ETM
결과	결과/NNG
117을	117/SN+을/JKO
통한	통하/VV+ㄴ/ETM
학교폭력	학교폭력/NNG
신고는	신고/NNG+는/JX
전년	전년/NNG
동기간	동기간/NNG
보다	보다/MAG
183배	183/SN+배/NNG
증가했으며,	증가하/VV+었/EP+으며/EC+,/SP
신고	신고/NNG
후	후/NNG
조치에	조치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학생의	학생/NNG+의/JKG
신뢰가	신뢰/NNG+가/JKS
형성됨에	형성되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
본인에	본인/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
신고비율이	신고비율/NNG+이/JKS
1월	1/SN+월/NNB
28%에서	28/SN+%/SW+에서/JKB
5월	5/SN+월/NNB
69	69/SN

8%로	8/SN+%/SW+로/JKB
급증했다	급증하/VV+였/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
‘117’센터의	‘117’/SN+센터/NNB+의/JKG
전국	전국/NNG
확대	확대/NNG
운영으로	운영/NNG+으로/JKB
학교폭력	학교폭력/NNG
신고가	신고/NNG+가/JKS
보다	보다/MAG
활성화되고,	활성화되/VV+고/EC+,/SP
수요자	수요자/NNG
중심의	중심/NNG+의/JKG
신속한	신속하/VA+ㄴ/ETM
대응이	대응/NNG+이/JKS
가능해	가능하/VA+여/EC
질것으로	지/VX+ㄹ/ETM+것/NNB+으로/JKB
기대된다	기대되/VV+ㄴ다/EF

또한	또한/MAG
정부는	정부/NNG+는/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
‘117’센터	‘/SL+117’/SN+센터/NNG
운영을	운영/NNG+을/JKO
위해	위하/VV+여/EC
지난	지나/VV+ㄴ/ETM
4~5월	4/SN+~/SO+5/SN+월/NNB
근무	근무/NNG
예정자	예정자/NNG
204명에	204/SN+명/NNB+에/JKB
대해	대하/VV+여/EC
전문교육과	전문교육/NNG+과/JC
합동	합동/NNG
근무를	근무/NNG+를/JKO
통해	통하/VV+여/EC
개소	개소/NNG
이후	이후/NNG
즉시	즉시/NNG
맞춤형	맞춤/NNG+형/XSN
서비스를	서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
사전	사전/NNG
준비에도	준비/NNG+에/JKB+도/JX
만전을	만전/NNG+을/JKO
기했다	기하/VV+였/EP+다/EC

향후	향후/NNG
상담원들에	상담원/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
학교폭력에	학교폭력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전문교육,	전문교육/NNG+,/SP
소양교육을	소양교육/NNG+을/JKO
지속	지속/NNG
실시해	실시하/VV+여/EC
전문성을	전문/NNG+성/XSN+을/JKO
강화하고	강화하/VV+고/EC
신고	신고/NNG
이후의	이후/NNG+의/JKG
정확한	정확하/VA+ㄴ/ETM
사건처리와	사건처리/NNG+와/JC
피해학생에	피해학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보호·지원,	보호/NNP+·/SP+지원/NNG+,/SP
가해학생에	가해학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
선도	선도/NNG
등	등/NNB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
처리로	처리/NNG+로/JKB
국민이	국민/NNG+이/JKS
신뢰하고	신뢰하/VV+고/EC
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
조성해	조성하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"금일	"/SS+금일/NNG
‘117’	‘/SL+117/SN+’/SL
개소가	개소/NNB+가/JKS
학교폭력	학교폭력/NNG
근절의	근절/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
전환점임을	전환점/NNG+이/VCP+ㅁ/ETN+을/JKO
인식하고,	인식하/VV+고/EC+,/SP
지역사회,가정,학교와	지역사회/NNG+,/SP+가정/NNG+,/SP+학교/NNG+와/JC
유기적으로	유기적/NNG+으로/JKB
협력해	협력하/VV+여/EC
지속적으로	지속적/NNG+으로/JKB
근절대책을	근절대책/NNG+을/JKO
추진해	추진하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC
