학생들의	학생/NNG+들/XSN+의/JKG
절대부족의	절대부족/NNG+의/JKG
현실	현실/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+여/EC
대폭	대폭/MAG
충원이	충원/NNG+이/JKC
필요하다는	필요하/VA+다는/ETM
절박함	절박하/VA+ㅁ/ETN
때문이다	때문/NNB+이/VCP+다/EC

최근	최근/NNG
각	각/MM
시·도교육청에서	시/NNG+·/SP+도교육청/NNG+에서/JKB
발표한	발표하/VV+ㄴ/ETM
‘2013년도	‘/SL+2013/SN+년/NNB+도/JX
공립	공립/NNG
특수학교	특수학교/NNG
유치원	유치원/NNG
교원(유아특수교사)’	교원/NNG+(/SS+유아/NNP+특수교사/NNG+)/SS+’/SN
선발	선발/NNG
예정	예정/NNG
인원이	인원/NNG+이/JKS
4명뿐인	4/SN+명뿐/NNB+이/VCP+ㄴ/ETM
것에서도	것/NNB+에서/JKB+도/JX
드러난다	드러나/VV+ㄴ다/EC

이들은	이/NP+들/XSN+은/JX
서늘한	서늘하/VA+ㄴ/ETM
가을	가을/NNG
날씨가	날씨/NNG+가/JKS
매서운	매섭/VA+ㄴ/ETM
초겨울	초겨울/NNG
날씨로	날씨/NNG+로/JKB
바뀌었지만	바뀌/VV+었/EP+지만/EC
차가운	차갑/VA+ㄴ/ETM
시멘트바닥에	시멘트바닥/NNG+에/JKB
앉은	앉/VV+은/ETM
상태로	상태/NNG+로/JKB
정부에	정부/NNG+에/JKB
내	나/NP+의/JKG
미래의	미래/NNG+의/JKG
학생을	학생/NNG+을/JKO
위해	위하/VV+여/EC
유아특수교사	유아특수교사/NNG
대폭	대폭/MAG
충원을	충원/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

유아특수교육학과	유아특수교육학과/NNG
학생이	학생/NNG+이/JKS
손	손/NNG
피켓을	피켓/NNG+을/JKO
들며,	들/VV+며/EC+,/SP
유아특수교사	유아특수교사/NNG
증원을	증원/NNG+을/JKO
목소리	목소리/NNG
내고	내/VV+고/EC
있다	있/VX+다/EC

"행안부	"/SS+행안부/NNG
장관,	장관/NNG+,/SP
우리의	우리/NP+의/JKG
유아특수교사	유아특수교사/NNG
증원	증원/NNG
요구에	요구/NNG+에/JKB
응답하라"	응답하/VV+라/EF+"/SS
소리치는	소리치/VV+는/ETM
모습	모습/NNG

매서운	매섭/VA+ㄴ/ETM
바람이	바람/NNG+이/JKS
부딪히는	부딪히/VV+는/ETM
얼굴에	얼굴/NNG+에/JKB
손	손/NNG
피켓으로	피켓/NNG+으로/JKB
막으면서도	막/VV+으면서/EC+도/JX
이들의	이/NP+들/XSN+의/JKG
유아특수교사	유아특수교사/NNG
증원하겠다는	증원하/VV+겠/EP+다는/ETM
마음은	마음/NNG+은/JX
변하지	변하/VV+지/EC
않는다는	않/VX+는다는/ETM
의지를	의지/NNG+를/JKO
보이고	보이/VV+고/EC
있다	있/VX+다/EC

학생이	학생/NNG+이/JKS
흰	희/VA+ㄴ/ETM
천에	천/NNG+에/JKB
행안부	행안부/NNG
장관에게	장관/NNG+에게/JKB
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
말을	말/NNG+을/JKO
적고	적/VV+고/EC
있다	있/VX+다/EC

학생들이	학생/NNG+들/XSN+이/JKS
적은	적/VA+은/ETM
흰	희/VA+ㄴ/ETM
천을	천/NNG+을/JKO
중앙정부청사	중앙정부청사/NNG
문에	문/NNG+에/JKB
달고	달/VV+고/EC
있다	있/VX+다/EC

결의대회	결의대회/NNG
내내	내내/MAG
큰	크/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
유아특수교사	유아특수교사/NNG
증원을	증원/NNG+을/JKO
얘기하고	얘기하/VV+고/EC
있는	있/VX+는/ETM
학생	학생/NNG

추위에	추위/NNG+에/JKB
결국	결국/NNG
손	손/NNG
피켓으로	피켓/NNG+으로/JKB
얼굴과	얼굴/NNG+과/JC
귀를	귀/NNG+를/JKO
막고	막/VV+고/EC
있다	있/VX+다/EC
