사라지는	사라지/VV+는/ETM
힘들겠다’는	힘들/VA+겠/EP+다/EC+’/SL+는/JX
말을	말/NNG+을/JKO
듣기도	듣/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

하지만	하지만/MAJ
비장애	비장애/NNG
친구들의	친구/NNG+들/XSN+의/JKG
그림과	그림/NNG+과/JKB
비교해도	비교하/VV+여도/EC
은지의	은지/NNP+의/JKG
재능은	재능/NNG+은/JX
썩히기	썩히/VV+기/ETN
아깝다는	아깝/VA+다는/ETM
소리를	소리/NNG+를/JKO
들어온	들어오/VV+ㄴ/ETM
조씨는	조/NNP+씨/NNB+는/JX
은지가	은지/NNP+가/JKS
훌륭한	훌륭하/VA+ㄴ/ETM
미술가가	미술가/NNG+가/JKC
되길	되/VV+기/ETN+ㄹ/JKO
소망했다	소망하/VV+였/EP+다/EC

미술에	미술/NNG+에/JKB
흥미를	흥미/NNG+를/JKO
가졌던	가지/VV+었/EP+던/ETM
아이도	아이/NNG+도/JX
엄마의	엄마/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
따라주었다	따르/VV+아/EC+주/VX+었/EP+다/EF

그러던	그러/VV+던/ETM
중	중/NNB
은지가	은지/NNP+가/JKS
가야	가/VV+아야/EC
할	하/VX+ㄹ/ETM
고등학교를	고등학교/NNG+를/JKO
선택해야	선택하/VV+여야/EC
했고,	하/VX+였/EP+고/EC+,/SP
딸	딸/NNG
아이가	아이/NNG+가/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
능력을	능력/NNG+을/JKO
더	더/MAG
키우길	키우/VV+기/ETN+ㄹ/JKO
바랬던	바러/VV+었/EP+던/ETM
조	조/NNP
씨는	씨/NNB+는/JX
A	A/SL
예술고등학교	예술고등학교/NNG
진학을	진학/NNG+을/JKO
목표로	목표/NNG+로/JKB
세웠다	세우/VV+었/EP+다/EC

물론	물론/MAG
은지가	은지/NNP+가/JKS
A예고에	A/SL+예고/NNG+에/JKB
입학하기까지	입학하/VV+기/ETN+까지/JX
‘산	‘/SN+산/NNG
넘어	넘/VV+어/EC
산’	산/VX+’/SL
이라고	이라고/JKQ
많은	많/VA+은/ETM
고비도	고비/NNG+도/JX
있었다	있/VA+었/EP+다/EF

예고	예고/NNG
입학	입학/NNG
문에는	문/NNG+에/JKB+는/JX
비장애인만	비장애인/NNG+만/JX
출입할	출입하/VV+ㄹ/ETM
수	수/NNB
있었고,	있/VA+었/EP+고/EC+,/SP
무엇보다	무엇/NP+보다/JKB
지적장애	지적장애/NNG
학생을	학생/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
학교	학교/NNG
측과	측/NNB+과/JC
집	집/NNG
근처의	근처/NNG+의/JKG
인문계	인문계/NNG
고등학교에	고등학교/NNG+에/JKB
가라는	가/VV+라는/ETM
시	시/NNG
교육청이	교육청/NNG+이/JKS
단단히	단단히/MAG
지키고	지키/VV+고/EC
있었다	있/VX+었/EP+다/EF

조	조/NNP
씨는	씨/NNB+는/JX
‘장애인	‘/SL+장애인/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특수교육법’	특수교육법/NNG+’/SN
제17조	제/XPN+17/SN+조/NR
2항을	2/SN+항/NNG+을/JKO
설명하며	설명하/VV+며/EC
시	시/NNG
교육청과	교육청/NNG+과/JC
학교의	학교/NNG+의/JKG
문이	문/NNG+이/JKS
닳도록	닳/VV+도록/EC
찾아갔고,	찾아가/VV+았/EP+고/EC+,/SP
설득해나갔다	설득하/VV+여/EC+나가/VX+았/EP+다/EF

특수교육법에는	특수교육법/NNG+에/JKB+는/JX
교육청	교육청/NNG
또는	또는/MAG
교육감은	교육감/NNG+은/JX
특수교육	특수교육/NNG
대상자의	대상자/NNG+의/JKG
장애정도·능력·보호자의	장애정도/NNG+·/SP+능력/NNG+·/SP+보호자/NNG+의/JKG
의견	의견/NNG
등을	등/NNB+을/JKO
종합적으로	종합적/NNG+으로/JKB
판단해	판단하/VV+여/EC
특수교육대상자를	특수교육대상자/NNG+를/JKO
배치할	배치하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
명시	명시/NNG
돼	되/VV+어/EC
있다	있/VX+다/EF

결국	결국/NNG
시	시/NNB
교육청도	교육청/NNG+도/JX
이	이/MM
조항을	조항/NNG+을/JKO
근거로	근거/NNG+로/JKB
은지의	은지/NNP+의/JKG
미술적	미술적/NNG
재능을	재능/NNG+을/JKO
인정했고	인정하/VV+였/EP+고/EC
우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
예고에	예고/NNG+에/JKB
입학했다	입학하/VV+였/EP+다/EF

입학	입학/NNG
당시	당시/NNG
학교에서는	학교/NNG+에서/JKB+는/JX
지적장애	지적장애/NNG
학생을	학생/NNG+을/JKO
지도해	지도하/VV+여/EC
본	보/VX+ㄴ/ETM
경험도	경험/NNG+도/JX
없고	없/VA+고/EC
준비도	준비/NNG+도/JX
되어	되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
힘들어했지만	힘들/VA+어/EC+하/VX+였/EP+지만/EC
교사들과	교사/NNG+들/XSN+과/JC
교감,	교감/NNG+,/SP
교장의	교장/NNG+의/JKG
배려와	배려/NNG+와/JC
가르침	가르침/NNG
속에서	속/NNG+에서/JKB
다행히	다행히/MAG
은지도	은지/NNP+도/JX
학교	학교/NNG
생활에	생활/NNG+에/JKB
잘	잘/MAG
적응해줬다	적응하/VV+여/EC+주/VX+었/EP+다/EF

지난해	지난해/NNG
학교	학교/NNG
소식지	소식지/NNG
'가을호'에	'/SS+가을/NNG+호/NNB+'/SS+에/JKB
실린	실리/VV+ㄴ/ETM
은지	은지/NNP
그림	그림/NNG

학교	학교/NNG
측은	측/NNB+은/JX
은지를	은지/NNP+를/JKO
위한	위하/VV+ㄴ/ETM
배려를	배려/NNG+를/JKO
아끼지	아끼/VV+지/EC
않았다	않/VX+았/EP+다/EF

지적장애의	지적장애/NNG+의/JKG
특성으로	특성/NNG+으로/JKB
인해	인하/VV+여/EC
국어나	국어/NNG+나/JC
영어,	영어/NNP+,/SP
수학	수학/NNG
등의	등/NNB+의/JKG
과목의	과목/NNG+의/JKG
시험은	시험/NNG+은/JX
힘들기에	힘들/VA+기에/EC
레포트	레포트/NNG
등의	등/NNB+의/JKG
과제물은	과제물/NNG+은/JX
그림으로	그림/NNG+으로/JKB
대체해	대체하/VV+여/EC
치를	치르/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허락해줬다	허락하/VV+여/EC+주/VX+었/EP+다/EF

결국	결국/NNG
은지는	은지/NNP+는/JX
학교에서	학교/NNG+에서/JKB
재능을	재능/NNG+을/JKO
인정받아	인정받/VV+아/EC
지난해	지난해/NNG
학교의	학교/NNG+의/JKG
소식지	소식지/NNG
‘가을호’에	‘/SN+가을/NNG+호/NNB+’/SL+에/JKB
당당히	당당히/MAG
그림이	그림/NNG+이/JKS
실렸다	실리/VV+었/EP+다/EF

“많은	“/SL+많/VA+은/ETM
선생님들께서	선생님/NNG+들/XSN+께서/JKS
처음에는	처음/NNG+에/JKB+는/JX
경험	경험/NNG
부족이나	부족/NNG+이나/JC
편견	편견/NNG
등으로	등/NNB+으로/JKB
많이	많이/MAG
힘들어	힘들/VA+어/EC
했습니다	하/VV+였/EP+습니다/EF

하지만	하지만/MAJ
지금은	지금/NNG+은/JX
은지가	은지/NNP+가/JKS
장차	장차/MAG
예술가로	예술가/NNG+로/JKB
자라기	자라/VV+기/ETN
위해	위하/VV+여/EC
공부하고	공부하/VV+고/EC
훈련하는	훈련하/VV+는/ETM
데	데/NNB
있어	있/VA+어/EC
장애가	장애/NNG+가/JKS
걸림돌이	걸림돌/NNG+이/JKC
되지	되/VV+지/EC
않는다고	않/VX+는다고/EC
생각하고,	생각하/VV+고/EC+,/SP
오히려	오히려/MAG
비장애인이	비장애인/NNG+이/JKS
보고	보/VV+고/EC
듣고	듣/VV+고/EC
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
세계를	세계/NNG+를/JKO
표현할	표현하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
예술적	예술적/NNG
감각이	감각/NNG+이/JKS
있다고	있/VA+다고/EC
칭찬합니다	칭찬하/VV+ㅂ니다/EF

그	그/MM
소식지에서	소식지/NNG+에서/JKB
방학과제우수작은	방학과제우수작/NNG+은/JX
1학년과	1/SN+학년/NNG+과/JC
2학년	2/SN+학년/NNG
두	두/MM
학생의	학생/NNG+의/JKG
그림만	그림/NNG+만/JX
실릴	실리/VV+ㄹ/ETM
수	수/NNB
있어요	있/VA+어요/EF

3학년은	3/SN+학년/NNG+은/JX
대학	대학/NNG
입시	입시/NNG
때문에	때문/NNB+에/JKB
어렵죠	어렵/VA+죠/EC

그런데	그런데/MAJ
1학년	1/SN+학년/NNG
대표로	대표/NNG+로/JKB
우리	우리/NP
아이	아이/NNG
그림이	그림/NNG+이/JKS
실렸던	실리/VV+었/EP+던/ETM
거에요	거에요/NNG

이번에	이번/NNG+에/JKB
기말고사	기말고사/NNG
실기에서	실기/NNG+에서/JKB
은지가	은지/NNP+가/JKS
145명	145/SN+명/NNB
중에	중/NNB+에/JKB
54등을	54/SN+등/NNB+을/JKO
했죠	하/VV+였/EP+죠/EF

장애를	장애/NNG+를/JKO
떠나	떠나/VV+아/EC
제	저/NP+의/JKG
실력만으로만	실력/NNG+만/JX+으로/JKB+만/JX
평가를	평가/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
거죠	것/NNB+이/VCP+죠/EF
(웃음)	(/SS+웃음/NNG+)/SS

”지난해	”/SL+지난해/NNG
은지를	은지/NNP+를/JKO
지도했던	지도하/VV+였/EP+던/ETM
교사도	교사/NNG+도/JX
"교내에서	"/SS+교내/NNG+에서/JKB
은지에	은지/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
칭찬이	칭찬/NNG+이/JKS
자자하다"며,	자자하/VA+다/EF+"/SS+며/EC+,/SP
"비장애	"/SS+비장애/NNG
학생과	학생/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
시각을	시각/NNG+을/JKO
갖고	갖/VV+고/EC
있어	있/VX+어/EC
비장애	비장애/NNG
학생들	학생/NNG+들/XSN
사이에서도	사이/NNG+에서/JKB+도/JX
귀감이	귀감/NNG+이/JKC
되고	되/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

교사는	교사/NNG+는/JX
“똑같이	“/SN+똑같이/MAG
‘길’	‘/SN+길’/NNG
이라는	이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
인물,	인물/NNG+,/SP
동물,	동물/NNG+,/SP
풍경을	풍경/NNG+을/JKO
조합해서	조합하/VV+여서/EC
그린	그리/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있었는데	있/VA+었/EP+는데/EC
은지는	은지/NNP+는/JX
크레파스를	크레파스/NNG+를/JKO
사용해	사용하/VV+여/EC
따뜻한	따뜻하/VA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
강조해서	강조하/VV+여서/EC
그렸었다”며	그리/VV+었었/EP+다/EC+”/VV+며/EC
“다른	“/SL+다른/MM
아이들이	아이/NNG+들/XSN+이/JKS
그리는	그리/VV+는/ETM
방식,	방식/NNG+,/SP
묘사하는	묘사하/VV+는/ETM
기법이	기법/NNG+이/JKS
다르고	다르/VA+고/EC
성향도	성향/NNG+도/JX
매우	매우/MAG
다르다	다르/VA+다/EC

은지만의	은지만/NNP+의/JKG
세계가	세계/NNG+가/JKS
있다”고	있/VA+다”고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“그림을	“/SN+그림/NNG+을/JKO
보면	보/VV+면/EC
작가의	작가/NNG+의/JKG
성향을	성향/NNG+을/JKO
발견할	발견하/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
색깔,	색깔/NNG+,/SP
구성요소를	구성요소/NNG+를/JKO
통해	통하/VV+여/EC
심리적인	심리적/NNG+이/VCP+ㄴ/ETM
상태를	상태/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
(그림을	(/SS+그림/NNG+을/JKO
보면)	보/VV+면/EC+)/SS
은지의	은지/NNP+의/JKG
순수한	순수하/VA+ㄴ/ETM
마음이	마음/NNG+이/JKS
잘	잘/MAG
표현	표현/NNG
돼	되/VV+어/EC
있고	있/VX+고/EC
순수함을	순수하/VA+ㅁ/ETN+을/JKO
그대로	그대로/MAG
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	것/NNB+이/JKS
강점”이라고	강점/NNG+”/SN+이/VCP+라고/EC
전했다	전하/VV+었/EP+다/EC

지적장애	지적장애/NNG
미술	미술/NNG
작가가	작가/NNG+가/JKC
되기	되/VV+기/ETN
위해	위하/VV+여/EC
준비해	준비하/VV+여/EC
온	오/VX+ㄴ/ETM
은지와	은지/NNP+와/JC
어머니	어머니/NNG
조씨는	조/NNP+씨/NNB+는/JX
또	또/MAG
다시	다시/MAG
큰	크/VA+ㄴ/ETM
난관에	난관/NNG+에/JKB
부딪혔다	부딪허/VV+였/EP+다/EF

은지가	은지/NNP+가/JKS
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대학은	대학/NNG+은/JX
없기	없/VA+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

은지가	은지/NNP+가/JKS
가고	가/VV+고/EC
싶다고	싶/VX+다고/EC
고른	고르/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
서울의	서울/NNP+의/JKG
B,	B/SL+,/SP
C대학	C/SL+대학/NNG

하지만	하지만/MAJ
B대학의	B/SL+대학/NNG+의/JKG
‘2013	‘/SL+2013/SN
기회균형	기회균형/NNG
선발	선발/NNG
특수교육대상자	특수교육대상자/NNG
특별전형’에	특별전형’/NNG+에/JKB
따라	따르/VV+아/EC
특수교육대상자로	특수교육대상자/NNG+로/JKB
미술대학에	미술대학/NNG+에/JKB
응시하려면	응시하/VV+려면/EC
수능에서	수능/NNG+에서/JKB
언어,	언어/NNG+,/SP
수리,	수리/NNG+,/SP
외국어,	외국어/NNG+,/SP
탐구	탐구/NNG
중	중/NNB
3개	3/SN+개/NNB
영역을	영역/NNG+을/JKO
3등급	3/SN+등급/NNG
받아야만	받/VV+아야/EC+만/JX
B대학에	B/SL+대학/NNG+에/JKB
응시할	응시하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

C대학도	C/SL+대학/NNG+도/JX
마찬가지였다	마찬가지/NNG+이/VCP+었/EP+다/EF

언어,	언어/NNG+,/SP
수리(가·나),	수리/NNG+(/SS+가/NNG+·/SP+나/NNG+)/SS+,/SP
외국어,	외국어/NNG+,/SP
탐구(사탐·과탐	탐구/NNG+(/SS+사탐/NNG+·/SP+과탐/NNG
포함	포함/NNG
2개	2/SN+개/NNB
과목	과목/NNG
이상)	이상/NNG+)/SS
과목에	과목/NNG+에/JKB
모두	모두/MAG
응시	응시/NNG
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
1개	1/SN+개/NNB
영역이	영역/NNG+이/JKS
3등급	3/SN+등급/NNG
이내여야	이내/NNG+이/VCP+어야/EC
원서를	원서/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
조씨는	조/NNP+씨/NNB+는/JX
똑같은	똑같/VA+은/ETM
‘특수교육대상자’	‘/SL+특수교육대상자’/NNG
자격이라도	자격/NNG+이라도/JX
신체적	신체/NNG+적/XSN
장애인과	장애인/NNG+과/JC
정신적	정신적/NNG
장애인에게	장애인/NNG+에게/JKB
똑같은	똑같/VA+은/ETM
잣대로	잣대/NNG+로/JKB
기준을	기준/NNG+을/JKO
제시한다면	제시하/VV+ㄴ다면/EC
지적장애	지적장애/NNG
같은	같/VA+은/ETM
정신적	정신적/NNG
장애인은	장애인/NNG+은/JX
대학	대학/NNG
입시가	입시/NNG+가/JKS
불가능하다고	불가능하/VA+다고/EC
지적했다	지적하/VV+였/EP+다/EF

시각,	시각/NNG+,/SP
청각,	청각/NNG+,/SP
지체,	지체/NNG+,/SP
뇌병변장애인의	뇌병변장애인/NNG+의/JKG
경우	경우/NNG
신체적인	신체/NNG+적/XSN+이/VCP+ㄴ/ETM
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
노력으로	노력/NNG+으로/JKB
가능하지만	가능하/VA+지만/EC
지적장애인은	지적장애인/NNG+은/JX
아무리	아무리/MAG
노력해도	노력하/VV+여도/EC
수능	수능/NNG
3등급을	3/SN+등급/NNG+을/JKO
받기에는	받/VV+기/ETN+에/JKB+는/JX
불가능하기	불가능하/VA+기/ETN
때문에	때문/NNB+에/JKB
지적장애인은	지적장애인/NNG+은/JX
이러한	이러하/VA+ㄴ/ETM
대학에	대학/NNG+에/JKB
응시조차	응시/NNG+조차/JX
하지	하/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
것	것/NNB

“은지도	“/SL+은지도/JX
나름대로	나름/NNB+대로/JX
수능	수능/NNG
준비를	준비/NNG+를/JKO
한다고	하/VV+ㄴ다고/EC
하지만	하/VV+지만/EC
3등급을	3/SN+등급/NNG+을/JKO
받을	받/VV+을/ETM
수가	수/NNB+가/JKS
없어요	없/VA+어요/EC

제	저/NP+의/JKG
실력으로	실력/NNG+으로/JKB
문제를	문제/NNG+를/JKO
푸는	풀/VV+는/ETM
것보다	것/NNB+보다/JKB
찍어야	찍/VV+어야/EC
더	더/MAG
잘	잘/MAG
나오는	나오/VV+는/ETM
아이가	아이/NNG+가/JKS
어떻게	어떻/VA+게/EC
3등급을	3/SN+등급/NNG+을/JKO
받겠어요	받/VV+겠/EP+어요/EC

물론	물론/MAG
지체나	지체/NNG+나/JC
시각,	시각/NNG+,/SP
청각장애	청각장애/NNG
학생은	학생/NNG+은/JX
노력하면	노력하/VV+면/EC
할	하/VV+ㄹ/ETM
수는	수/NNB+는/JX
있겠죠	있/VA+겠/EP+죠/EF

지적능력이	지적능력/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
우리아이가	우리/NP+아이/NNG+가/JKS
아무리	아무리/MAG
다른	다르/VA+ㄴ/ETM
아이들에	아이/NNG+들/XSN+에/JKB
비해	비하/VV+여/EC
재능이	재능/NNG+이/JKS
있어도	있/VA+어도/EC
이	이/MM
대학에	대학/NNG+에/JKB
응시하지도	응시하/VV+지/EC+도/JX
말라는	말/VX+라는/ETM
거잖아요	것/NNB+지/EC+않/VX+아요/EF

지적장애인의	지적장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
전혀	전혀/MAG
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
규정이에요	규정/NNG+이/VCP+에요/EF

”지적장애인은	”/SL+지적장애인/NNG+은/JX
지적·인지적	지적/NNG+·/SP+인지/NNG+적/XSN
능력에	능력/NNG+에/JKB
제한이	제한/NNG+이/JKS
있고	있/VA+고/EC
일상생활을	일상생활/NNG+을/JKO
수행하기에	수행하/VV+기/ETN+에/JKB
어려움이	어려움/NNG+이/JKS
따른다	따르/VV+ㄴ다/EF

특히	특히/MAG
은지와	은지/NNG+와/JKB
같은	같/VA+은/ETM
지적장애	지적장애/NNG
3급의	3/SN+급/NNG+의/JKG
장애인은	장애인/NNG+은/JX
지능지수	지능지수/NNG
50~75사이,	50/SN+~/SO+75/SN+사이/NNG+,/SP
사회성지수	사회성지수/NNG
50~70	50/SN+~/SO+70/SN
사이로	사이/NNG+로/JKB
교육을	교육/NNG+을/JKO
통해	통하/VV+여/EC
사회적	사회적/NNG
및	및/MAG
직업적으로	직업적/NNG+으로/JKB
재활이	재활/NNG+이/JKS
충분히	충분히/MAG
가능하다	가능하/VA+다/EC

조씨는	조/NNP+씨/NNB+는/JX
형식상으로	형식/NNG+상/XSN+으로/JKB
지적장애인을	지적장애인/NNG+을/JKO
입학에서	입학/NNG+에서/JKB
제한하고	제한하/VV+고/EC
거부하는	거부하/VV+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
지적장애인을	지적장애인/NNG+을/JKO
고려하지	고려하/VV+지/EC
않는	않/VX+는/ETM
기준을	기준/NNG+을/JKO
적용해	적용하/VV+여/EC
지적장애인의	지적장애인/NNG+의/JKG
대학	대학/NNG
입학에	입학/NNG+에/JKB
간접	간접/NNG
차별을	차별/NNG+을/JKO
주고	주/VV+고/EC
있다고	있/VX+다고/EC
주장했다	주장하/VV+였/EP+다/EF

장애인	장애인/NNG
특수교육법에	특수교육법/NNG+에/JKB
따르면	따르/VV+면/EC
학교의	학교/NNG+의/JKG
장	장/NNG
혹은	혹은/MAG
대학의	대학/NNG+의/JKG
장은	장/NNG+은/JX
입학	입학/NNG
지원을	지원/NNG+을/JKO
거부하거나	거부하/VV+거나/EC
입학전형	입학전형/NNG
과정에서	과정/NNG+에서/JKB
차별하면	차별하/VV+면/EC
안	안/MAG
된다고	되/VV+ㄴ다고/EC
규정돼	규정되/VV+어/EC
있다	있/VX+다/EF

그러나	그러나/MAJ
조씨	조/NNP+씨/NNB
모녀는	모녀/NNG+는/JX
두	두/MM
학교	학교/NNG
모두	모두/MAG
수능에서	수능/NNG+에서/JKB
일정	일정/NNG
조건	조건/NNG
이상이여야	이상/NNG+이/VCP+여야/EC
원서를	원서/NNG+를/JKO
접수할	접수하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실에	사실/NNG+에/JKB
좌절했지만,	좌절하/VV+였/EP+지만/EC+,/SP
가고	가/VV+고/EC
싶다고	싶/VX+다고/EC
점	점/MAG
찍어놓은	찍/VV+어/EC+놓/VX+은/ETM
대학을	대학/NNG+을/JKO
두고	두/VV+고/EC
그대로	그대로/MAG
포기할	포기하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없었다	없/VA+었/EP+다/EF

다른	다른/MM
대학의	대학/NNG+의/JKG
입학	입학/NNG
응시	응시/NNG
조건도	조건/NNG+도/JX
별반	별반/MAG
다르지	다르/VA+지/EC
않았다	않/VX+았/EP+다/EF

“아이의	“/SN+아이/NNG+의/JKG
미술적인	미술적/NNG+이/VCP+ㄴ/ETM
성향이란	성향/NNG+이/VCP+란/ETM
것도	것/NNB+도/JX
있으니	있/VA+으니/EC
아이의	아이/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
존중해주려고	존중하/VV+여/EC+주/VX+려고/EC
해요	하/VX+여요/EF

또	또/MAG
그런	그런/MM
성향을	성향/NNG+을/JKO
계속	계속/MAG
고수해가길	고수하/VV+여/EC+가/VX+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
게	것/NNB+이/JKS
제	저/NP+의/JKG
뜻이기도	뜻/NNG+이/VCP+기/ETN+도/JX
하구요	하/VX+구요/EF

”조씨가	”조/SN+씨/NNB+가/JKS
이	이/MM
대학에	대학/NNG+에/JKB
고집하는	고집하/VV+는/ETM
이유는	이유/NNG+는/JX
장애	장애/NNG
학생이	학생/NNG+이/JKS
많이	많이/MAG
다니고	다니/VV+고/EC
있는	있/VX+는/ETM
D대학	D/SL+대학/NNG
등의	등/NNB+의/JKG
미술학과에	미술학과/NNG+에/JKB
응시하는	응시하/VV+는/ETM
것도	것/NNB+도/JX
또	또/MAG
다른	다른/MM
방법이지만,	방법/NNG+이/VCP+지만/EC+,/SP
은지의	은지/NNP+의/JKG
꿈을	꿈/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
넓은	넓/VA+은/ETM
무대로	무대/NNG+로/JKB
가는	가/VV+는/ETM
것이	것/NNB+이/JKS
좋겠다고	좋/VA+겠/EP+다고/EC
판단했기	판단하/VV+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

아이의	아이/NNG+의/JKG
요구에	요구/NNG+에/JKB
따라	따르/VV+아/EC
B,C	B/SL+,/SP+C/SL
대학	대학/NNG
입학에	입학/NNG+에/JKB
도전하기로	도전하/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
조씨는	조/NNP+씨/NNB+는/JX
이	이/NP
같은	같/VA+은/ETM
내용에	내용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
민원을	민원/NNG+을/JKO
교과부에	교과부/NNG+에/JKB
접수시켰다	접수/NNG+시키/XSV+었/EP+다/EF

하지만	하지만/MAJ
‘학생선발은	‘학생선발/NNG+은/JX
고등교육법에	고등교육법/NNG+에/JKB
따라	따르/VV+아/EC
각	각/MM
대학의	대학/NNG+의/JKG
장에게	장/NNG+에게/JKB
권한을	권한/NNG+을/JKO
부여하고	부여하/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
개별대학의	개별대학/NNG+의/JKG
장이	장/NNG+이/JKS
판단할	판단하/VV+ㄹ/ETM
사항’이라는	사항’/NNG+이/VCP+라는/ETM
답변만	답변/NNG+만/JX
돌아왔다	돌아오/VV+았/EP+다/EC

고등교육법을	고등교육법/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
대학의	대학/NNG+의/JKG
