특수학교서	특수학교/NNG+서/JKB
돼	되/VV+어/EC
특수학교에	특수학교/NNG+에/JKB
진학할	진학하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
열렸고,	열리/VV+었/EP+고/EC+,/SP
중랑구에	중랑구/NNP+에/JKB
특수학교가	특수학교/NNG+가/JKS
건립되기	건립되/VV+기/ETN
전까지	전/NNG+까지/JX
중랑구	중랑구/NNP
장애학생들이	장애학생/NNG+들/XSN+이/JKS
불이익을	불이익/NNG+을/JKO
당하지	당하/VV+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+여/EC
행정심판을	행정심판/NNG+을/JKO
청구하게	청구하/VV+게/EC
됐다”면서	되/VV+었/EP+다/EC+”/VV+면서/EC
“위원회에서	“/SN+위원회/NNG+에서/JKB
보완책도	보완/NNG+책/XSN+도/JX
제시해줌으로써	제시하/VV+여/EC+주/VX+ㅁ/ETN+으로써/JKB
청구인	청구인/NNG
주장을	주장/NNG+을/JKO
100%	100/SN+%/SW
들어준	듣/VV+어/EC+주/VX+ㄴ/ETM
재결이라는	재결/NNG+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
들어	들/VV+어/EC
매우	매우/MAG
기쁘다”고	기쁘/VA+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
특수학교	특수학교/NNG
미배치	미/XPN+배치/NNG
받은	받/VV+은/ETM
6명의	6/SN+명/NNB+의/JKG
학생	학생/NNG
중	중/NNB
4명은	4/SN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
3일자로	3/SN+일자/NNG+로/JKB
서울동천학교에	서울동천/NNP+학교/NNG+에/JKB
입학했으며,	입학하/VV+였/EP+으며/EC+,/SP
2명은	2/SN+명/NNB+은/JX
서울인강학교와	서울/NNP+인강학교/NNG+와/JC
봉화중학교의	봉화중/NNP+학교/NNG+의/JKG
특수학급에	특수학급/NNG+에/JKB
재학	재학/NNG
중이다	중/NNB+이/VCP+다/EC
