'학생	'/SS+학생/NNG
학생	학생/NNG
수	수/NNG
및	및/MAG
특수교육	특수교육/NNG
교원의	교원/NNG+의/JKG
배치	배치/NNG
기준을	기준/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
현실에	현실/NNG+에/JKB
김우남	김우남/NNP
의원은	의원/NNG+은/JX
특수학교교육대상자에	특수학교교육대상자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특수교육교원의	특수교육교원/NNG+의/JKG
배치	배치/NNG
기준을	기준/NNG+을/JKO
법률에	법률/NNG+에/JKB
규정함으로써	규정하/VV+ㅁ/ETN+으로써/JKB
실효성을	실효성/NNG+을/JKO
높이고	높이/VV+고/EC
특수교육교원의	특수교육교원/NNG+의/JKG
배치	배치/NNG
기준에	기준/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
특수교원	특수교원/NNG
충원율을	충원율/NNG+을/JKO
확보할	확보하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다	하/VX+였/EP+다/EF

개정안은	개정안/NNG+은/JX
시행령에	시행령/NNG+에/JKB
명시된	명시되/VV+ㄴ/ETM
‘특수학교와	‘/SL+특수학교/NNG+와/JC
각급학교의	각급학교/NNG+의/JKG
특수학급에	특수학급/NNG+에/JKB
두는	두/VV+는/ETM
특수교육교원의	특수교육교원/NNG+의/JKG
배치기준은	배치기준/NNG+은/JX
학생	학생/NNG
4명마다	4/SN+명/NNB+마다/JX
1명으로	1/SN+명/NNB+으로/JKB
하되	하/VV+되/EC
특수교육대상자의	특수교육대상자/NNG+의/JKG
지역별	지역/NNG+별/XSN
분포	분포/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
배치기준의	배치기준/NNG+의/JKG
40%	40/SN+%/SW
범위에서	범위/NNG+에서/JKB
대통령령이	대통령령/NNG+이/JKS
정하는	정하/VV+는/ETM
바에	바/NNB+에/JKB
따라	따르/VV+아/EC
가감할	가감하/VV+ㄹ/ETM
수	수/NNB
있다’는	있/VA+다’/EC+는/JX
내용을	내용/NNG+을/JKO
법률에	법률/NNG+에/JKB
명시했다	명시하/VV+였/EP+다/EC

특히	특히/MAG
‘특수학교의	‘/SL+특수학교/NNG+의/JKG
학급	학급/NNG
및	및/MAG
각급학교에	각급학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가’를	평가/NNG+’/SL+를/JKO
신설	신설/NNG
교육과학기술부장관이	교육과학기술부장관/NNG+이/JKS
특수학교와	특수학교/NNG+와/JC
각급학교에	각급학교/NNG+에/JKB
대해	대하/VV+여/EC
특수학교의	특수학교/NNG+의/JKG
학급	학급/NNG
및	및/MAG
각급학교의	각급학교/NNG+의/JKG
특수학급	특수학급/NNG
설치	설치/NNG
기준과	기준/NNG+과/JC
특수교육교원의	특수교육교원/NNG+의/JKG
배치기준을	배치기준/NNG+을/JKO
점검하고	점검하/VV+고/EC
평가해	평가하/VV+여/EC
행정적·재정적으로	행정적/NNG+·/SP+재정적/NNG+으로/JKB
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했으며,	하/VX+였/EP+으며/EC+,/SP
평가기준	평가기준/NNG
및	및/MAG
방법에	방법/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
교육과학기술부령으로	교육과학기술부령/NNG+으로/JKB
정하도록	정하/VV+도록/EC
했다	하/VX+였/EP+다/EC

김우남	김우남/NNP
의원은	의원/NNG+은/JX
“앞으로도	“/SL+앞/NNG+으로/JKB+도/JX
장애인	장애인/NNG
교육의	교육/NNG+의/JKG
질을	질/NNG+을/JKO
향상시킴으로써	향상/NNG+시키/XSV+ㅁ/ETN+으로써/JKB
장애인	장애인/NNG
교육권을	교육권/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책을	정책/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
연구·개발해	연구/NNG+·/SP+개발하/VV+여/EC
나가겠다"고	나가/VX+겠/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
