세계적	세계적/NNG
교육에서만	교육/NNG+에서/JKB+만/JX
그치는	그치/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
각	각/MM
학교에	학교/NNG+에/JKB
장애학생이	장애학생/NNG+이/JKS
있을	있/VA+을/ETM
경우	경우/NNG
그에	그/NP+에/JKB
맞는	맞/VV+는/ETM
시설과	시설/NNG+과/JC
제도들을	제도/NNG+들/XSN+을/JKO
마련하도록	마련하/VV+도록/EC
종용하기도	종용하/VV+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

개인이	개인/NNG+이/JKC
아니라	아니/VCN+라/EC
단체에서	단체/NNG+에서/JKB
요구하는	요구하/VV+는/ETM
만큼	만큼/NNB
그	그/MM
효과도	효과/NNG+도/JX
크지	크/VA+지/EC
않을	않/VX+을/ETM
수가	수/NNB+가/JKS
없다	없/VA+다/EF

이를	이/NP+를/JKO
통해	통하/VV+여/EC
지역	지역/NNG
고등학교들의	고등학교/NNG+들/XSN+의/JKG
장애	장애/NNG
제도는	제도/NNG+는/JX
커갈	크/VA+어/EC+가/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다	없/VA+다/EC

홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+여/EC
알리고	알리/VV+고/EC
있는	있/VX+는/ETM
이	이/MM
프로그램의	프로그램/NNG+의/JKG
방향은	방향/NNG+은/JX
장애	장애/NNG
청소년들의	청소년/NNG+들/XSN+의/JKG
자신감,	자신감/NNG+,/SP
자기	자기/NP
가치,	가치/NNG+,/SP
그리고	그리고/MAJ
자립이다	자립/NNG+이/VCP+다/EC

이	이/MM
프로그램의	프로그램/NNG+의/JKG
부회장인	부회장/NNG+이/VCP+ㄴ/ETM
카메론	카메론/NNP
파트릿지는	파트릿/NNP+지/XSN+는/JX
더	더/MAG
브랜덴톤	브랜덴톤/NNG
타임스와의	타임스/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
다음과	다음/NNG+과/JKB
같이	같이/MAG
말했다	말하/VV+였/EP+다/EC

“모든	“/SL+모든/MM
장애	장애/NNG
청소년들은	청소년/NNG+들/XSN+은/JX
성인	성인/NNG
시기와	시기/NNG+와/JC
직면하게	직면하/VV+게/EC
됩니다	되/VV+ㅂ니다/EF

성인이	성인/NNG+이/JKC
되어	되/VV+어/EC
겪게	겪/VV+게/EC
될	되/VV+ㄹ/ETM
장애인으로서의	장애인/NNG+으로서/JKB+의/JKG
어려움을	어려움/NNG+을/JKO
최소화하기	최소화하/VV+기/ETN
위해	위하/VV+여/EC
그네들의	그네/NP+들/XSN+의/JKG
잠재력을	잠재력/NNG+을/JKO
최대한	최대한/NNG
키워줘서	키우/VV+어/EC+주/VX+어서/EC
사회로	사회/NNG+로/JKB
내보내야	내보내/VV+어야/EC
합니다	하/VX+ㅂ니다/EF

”VIP아카데미의	”VIP/SL+아카데미/NNG+의/JKG
최대	최대/NNG
장점	장점/NNG
중의	중/NNB+의/JKG
하나는	하나/NNG+는/JX
끝없는	끝없/VA+는/ETM
의견수렴과	의견수렴/NNG+과/JC
아이디어	아이디어/NNG
창출이다	창출/NNG+이/VCP+다/EC

아이디어	아이디어/NNG
창출은	창출/NNG+은/JX
회원들에	회원/NNG+들/XSN+에/JKB
국한하지	국한하/VV+지/EC
않는다	않/VX+는다/EF

팀,	팀/NNG+,/SP
주변,	주변/NNG+,/SP
주,	주/NNG+,/SP
미국,	미국/NNP+,/SP
세계로부터	세계/NNG+로부터/JKB
장애	장애/NNG
청소년	청소년/NNG
문제를	문제/NNG+를/JKO
해결하기	해결하/VV+기/ETN
위해	위하/VV+여/EC
최선을	최선/NNG+을/JKO
다하고	다하/VV+고/EC
있다	있/VX+다/EC

이	이/MM
프로그램의	프로그램/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
한편	한편/MAG
지난	지나/VV+ㄴ/ETM
해	해/NNG
2월에는	2/SN+월/NNB+에/JKB+는/JX
모든	모든/MM
이들의	이/NP+들/XSN+의/JKG
아이디어를	아이디어/NNG+를/JKO
수집한다	수집하/VV+ㄴ다/EC

이	이/MM
프로젝트에	프로젝트/NNG+에/JKB
총	총/MM
23개	23/SN+개/NNB
국가에서	국가/NNG+에서/JKB
55개의	55/SN+개/NNB+의/JKG
등록이	등록/NNG+이/JKS
들어왔다	들어오/VV+았/EP+다/EC

이렇게	이렇/VA+게/EC
수집된	수집되/VV+ㄴ/ETM
의견은	의견/NNG+은/JX
단순히	단순히/MAG
읽는	읽/VV+는/ETM
것에서	것/NNB+에서/JKB
그치는	그치/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
팀을	팀/NNG+을/JKO
이루어	이루/VV+어/EC
조직적으로	조직적/NNG+으로/JKB
추진해	추진하/VV+여/EC
나간다	나가/VX+ㄴ다/EF

지역	지역/NNG
고등학생	고등학생/NNG
40명으로	40/SN+명/NNB+으로/JKB
시작된	시작되/VV+ㄴ/ETM
이	이/MM
프로그램은	프로그램/NNG+은/JX
이제	이제/MAG
세계의	세계/NNG+의/JKG
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
훌륭한	훌륭하/VA+ㄴ/ETM
프로젝트로	프로젝트/NNG+로/JKB
성장했다	성장하/VV+였/EP+다/EC

영향력있는	영향력/NNG+있/VA+는/ETM
이	이/MM
프로젝트로	프로젝트/NNG+로/JKB
인해	인하/VV+여/EC
청소년	청소년/NNG
장애	장애/NNG
제도의	제도/NNG+의/JKG
발전을	발전/NNG+을/JKO
기대해	기대하/VV+여/EC
본다	보/VX+ㄴ다/EF

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
