"선생님이	"/SS+선생님/NNG+이/JKS
장애학생	장애학생/NNG
과밀화	과밀화/NNG
현상으로	현상/NNG+으로/JKB
그치는	그치/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
특수교사의	특수교사/NNG+의/JKG
업무과중,	업무과중/NNG+,/SP
장애인	장애인/NNG
교육권	교육권/NNG
침해	침해/NNG
및	및/MAG
박탈로까지	박탈/NNG+로/JKB+까지/JX
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
이들	이/NP+들/XSN
주장이다	주장/NNG+이/VCP+다/EC

지난해에도	지난해/NNG+에/JKB+도/JX
특수교사	특수교사/NNG
법정인원	법정인원/NNG
미	미/NNP
확보의	확보/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
인지한	인지하/VV+ㄴ/ETM
현직	현직/NNG
특수교육과	특수교육/NNG+과/JC
교수인	교수/NNG+이/VCP+ㄴ/ETM
전국특수교육과협의회	전국특수교육과협의회/NNP
공동대표들과	공동대표/NNG+들/XSN+과/JC
특수교육과	특수교육/NNG+과/JC
학생들이	학생/NNG+들/XSN+이/JKS
정부중앙청사	정부중앙청사/NNG
후문	후문/NNG
앞에서	앞/NNG+에서/JKB
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

특히	특히/MAG
이날	이날/NNG
오전	오전/NNG
11시	11/SN+시/NNB
서울시교육청	서울시/NNP+교육청/NNG
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기자회견에서도	기자회견/NNG+에서/JKB+도/JX
장애인	장애인/NNG
교육권	교육권/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
특수교사	특수교사/NNG
증원을	증원/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
힘찬	힘차/VA+ㄴ/ETM
목소리가	목소리/NNG+가/JKS
터져	터지/VV+어/EC
나오고	나오/VV+고/EC
있었다	있/VX+었/EP+다/EF

전국특수교육과대학생연합회	전국특수교육과대학생연합회/NNP
상새아(이화여대	상새아/NNP+(/SS+이화여대/NNP
특수교육과	특수교육/NNG+과/JC
학생회장)	학생회장/NNG+)/SS
총무는	총무/NNG+는/JX
학생대표로	학생대표/NNG+로/JKB
참석해	참석하/VV+여/EC
“현재	“/SL+현재/NNG
교과부는	교과부/NNG+는/JX
특수교사	특수교사/NNG
부족을	부족/NNG+을/JKO
인정하며	인정하/VV+며/EC
법정정원	법정정원/NNG
확보	확보/NNG
계획을	계획/NNG+을/JKO
수립하고	수립하/VV+고/EC
있지만	있/VX+지만/EC
이제껏	이제껏/MAG
제대로	제대로/MAG
시행되지	시행되/VV+지/EC
않았고	않/VX+았/EP+고/EC
작년에는	작년/NNG+에/JKB+는/JX
약	약/MM
135명의	135/SN+명/NNB+의/JKG
신규	신규/NNG
특수교사를	특수교사/NNG+를/JKO
채용하는데	채용하/VV+는/ETM+데/NNB
그쳤다”면서	그치/VV+었/EP+다/EC+”/VV+면서/EC
“특수교육	“/SL+특수교육/NNG
대상자는	대상자/NNG+는/JX
매해	매해/MAG
증가하고	증가하/VV+고/EC
있는	있/VX+는/ETM
반면에	반면/NNG+에/JKB
특수교사	특수교사/NNG
충원은	충원/NNG+은/JX
제대로	제대로/MAG
이뤄지지	이루어지/VV+지/EC
않고	않/VX+고/EC
있어	있/VX+어/EC
심각한	심각하/VA+ㄴ/ETM
과밀화	과밀화/NNG
현상이	현상/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“특수교육을	“/SN+특수교육/NNG+을/JKO
실현하기	실현하/VV+기/ETN
위해	위하/VV+여/EC
가장	가장/MAG
기본적인	기본적/NNG+이/VCP+ㄴ/ETM
요소인	요소/NNG+이/VCP+ㄴ/ETM
특수교사	특수교사/NNG
법정정원을	법정정원/NNG+을/JKO
준수	준수/NNG
해	하/VV+여/EC
달라고	달/VX+라고/EC
요구	요구/NNG
해야만	하/VV+여야/EC+만/JX
하는	하/VX+는/ETM
현실이	현실/NNG+이/JKS
매우	매우/MAG
안타깝다”면서	안타깝/VA+다/EC+”/VV+면서/EC
“터무니	“/SN+터무니/NNG
없이	없이/MAG
부족한	부족하/VA+ㄴ/ETM
교사	교사/NNG
채용,	채용/NNG+,/SP
특수교육	특수교육/NNG
비전문가인	비전문가/NNG+이/VCP+ㄴ/ETM
일반교사의	일반교사/NNG+의/JKG
특수교육화,	특수교육/NNG+화/XSN+,/SP
비정규직인	비정규직/NNG+이/VCP+ㄴ/ETM
기간제	기간제/NNG
교사	교사/NNG
증가	증가/NNG
등	등/NNB
예비	예비/NNG
특수교사(특수교육과	특수교사/NNG+(/SS+특수교육/NNG+과/JC
학생)들은	학생/NNG+)/SS+들/XSN+은/JX
양적·질적으로	양적/NNG+·/SP+질적/NNG+으로/JKB
수	수/NNG
없이	없이/MAG
좌절을	좌절/NNG+을/JKO
겪고	겪/VV+고/EC
있다”고	있/VX+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

상	상/NNP
총무는	총무/NNG+는/JX
“(과밀화	“/SL+(/SS+과밀화/NNG
현상으로)	현상/NNG+으로/JKB+)/SS
불안정한	불안정하/VA+ㄴ/ETM
학급에서	학급/NNG+에서/JKB
진정한	진정하/VA+ㄴ/ETM
특수교육	특수교육/NNG
실현을	실현/NNG+을/JKO
기대하는	기대하/VV+는/ETM
것은	것/NNB+은/JX
어렵다	어렵/VA+다/EC

특수교사	특수교사/NNG
법정정원	법정정원/NNG
인원	인원/NNG
확보는	확보/NNG+는/JX
장애학생들의	장애학생/NNG+들/XSN+의/JKG
진정한	진정하/VA+ㄴ/ETM
교육권을	교육권/NNG+을/JKO
확보하는	확보하/VV+는/ETM
과정일	과정/NNG+이/VCP+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SL+이/VCP+라며/EC
“서울시교육청은	“/SL+서울시/NNP+교육청/NNG+은/JX
정확한	정확하/VA+ㄴ/ETM
특수교육	특수교육/NNG
현장에	현장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해를	이해/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
교과부를	교과부/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
특수교사	특수교사/NNG
증원	증원/NNG
요청을	요청/NNG+을/JKO
해줄	하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
강력하게	강력하/VA+게/EC
요청	요청/NNG
한다”고	하/VV+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

전국특수교육과협의회	전국특수교육과협의회/NNP
김호연	김호연/NNP
공동대표가	공동대표/NNG+가/JKS
기간제	기간제/NNG
교사	교사/NNG
증가의	증가/NNG+의/JKG
우려를	우려/NNG+를/JKO
표하고	표하/VV+고/EC
있다	있/VX+다/EC

전국특수교육과협의회	전국특수교육과협의회/NNP
김호연(강남대	김호연/NNP+(/SS+강남대/NNP
중등특수교육과	중등특수교육과/NNG
교수)	교수/NNG+)/SS
공동대표도	공동대표/NNG+도/JX
“최근	“/SL+최근/NNG
기간제	기간제/NNG
교사들의	교사/NNG+들/XSN+의/JKG
증가도	증가/NNG+도/JX
문제로	문제/NNG+로/JKB
대두되고	대두되/VV+고/EC
있는데	있/VX+는데/EC
서울시	서울시/NNP
보다는	보다/JKB+는/JX
경기도의	경기도/NNP+의/JKG
기간제	기간제/NNG
교사율이	교사율/NNG+이/JKS
제일	제일/MAG
심각하다	심각하/VA+다/EC

용인시만	용인시/NNP+만/JX
해도	하/VV+여도/EC
정규직	정규직/NNG
교사가	교사/NNG+가/JKS
40%,	40/SN+%/SW+,/SP
나머지는	나머지/NNG+는/JX
기간제	기간제/NNG
교사로	교사/NNG+로/JKB
충원되고	충원되/VV+고/EC
있어	있/VX+어/EC
심각한	심각하/VA+ㄴ/ETM
현상”이라며	현상”/NNG+이/VCP+라며/EC
“5년간	“/SL+5/SN+년/NNB+간/XSN
특수교육	특수교육/NNG
대상자는	대상자/NNG+는/JX
7~8만에	7/SN+~/SO+8/SN+만/NNB+에/JKB
육박하는	육박하/VV+는/ETM
등	등/NNB
특수교육	특수교육/NNG
대상자가	대상자/NNG+가/JKS
계속	계속/MAG
증가하고	증가하/VV+고/EC
있는	있/VX+는/ETM
추세에서	추세/NNG+에서/JKB
지금	지금/MAG
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
대안을	대안/NNG+을/JKO
내놓지	내놓/VV+지/EC
않는다면	않/VX+는다면/EC
이	이/MM
상황은	상황/NNG+은/JX
더욱	더욱/MAG
심각해질	심각하/VA+여/EC+지/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

교육청을	교육청/NNG+을/JKO
압박해서	압박하/VV+여서/EC
교육청이	교육청/NNG+이/JKS
교과부에	교과부/NNG+에/JKB
특수교사	특수교사/NNG
충원에	충원/NNG+에/JKB
대해	대하/VV+여/EC
강조할	강조하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
보여줘야	보이/VV+어/EC+주/VX+어야/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

단국대학교	단국대학교/NNP
특수교육과	특수교육/NNG+과/JC
우소연	우소연/NNP
학생회장은	학생회장/NNG+은/JX
“현재	“/SL+현재/NNG
특수교사	특수교사/NNG
법정정원이	법정정원/NNG+이/JKS
있음에도	있/VA+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
정부와	정부/NNG+와/JC
지자체는	지자체/NNG+는/JX
각각	각각/MAG
책임을	책임/NNG+을/JKO
떠맡기고	떠맡기/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
예비특수교사로서	예비특수교사/NNG+로서/JKB
장애학생을	장애학생/NNG+을/JKO
위해	위하/VV+여/EC
특수교사의	특수교사/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
꾸고	꾸/VV+고/EC
있지만	있/VX+지만/EC
현재	현재/MAG
그럴	그렇/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
현실은	현실/NNG+은/JX
되지	되/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC

우	우/NNP
회장은	회장/NNG+은/JX
“무엇보다	“/SL+무엇/NP+보다/JKB
장애학생들이	장애학생/NNG+들/XSN+이/JKS
겪는	겪/VV+는/ETM
과밀학급	과밀학급/NNG
현상은	현상/NNG+은/JX
더욱	더욱/MAG
심각하다	심각하/VA+다/EC

특수학교나	특수학교/NNG+나/JC
특수학급에	특수학급/NNG+에/JKB
자원봉사를	자원봉사/NNG+를/JKO
갔을	가/VV+았/EP+을/ETM
때	때/NNG
과밀학급	과밀학급/NNG
현상의	현상/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
깨달을	깨닫/VV+을/ETM
수	수/NNB
있었다”면서	있/VA+었/EP+다/EC+”/VV+면서/EC
“이럴	“/SL+이/VCP+렇/VA+ㄹ/ETM
때	때/NNG
마다	마다/JX
미래의	미래/NNG+의/JKG
모습이라고	모습/NNG+이/VCP+라고/EC
생각하니	생각하/VV+니/EC
더욱	더욱/MAG
암담할	암담하/VA+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

서울지역	서울/NNP+지역/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
전국의	전국/NNG+의/JKG
장애단체들은	장애단체/NNG+들/XSN+은/JX
특수교사	특수교사/NNG
법정정원을	법정정원/NNG+을/JKO
준수하기	준수하/VV+기/ETN
위해	위하/VV+여/EC
3가지	3/SN+가지/NNB
방안을	방안/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

3가지	3/SN+가지/NNB
방안에는	방안/NNG+에/JKB+는/JX
특수교육	특수교육/NNG
설립계획,	설립계획/NNG+,/SP
신·증설	신/XPN+·/SP+증설/NNG
대상	대상/NNG
특수학급	특수학급/NNG
수,	수/NNG+,/SP
과밀학급	과밀학급/NNG
수	수/NNG
및	및/MAG
비정규직	비정규직/NNG
특수교사	특수교사/NNG
수	수/NNG
등	등/NNB
특수교사	특수교사/NNG
증원	증원/NNG
요인에	요인/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조사	조사/NNG
및	및/MAG
각급학교의	각급학교/NNG+의/JKG
실제	실제/NNG
수요	수요/NNG
현황을	현황/NNG+을/JKO
파악해	파악하/VV+여/EC
교과부에	교과부/NNG+에/JKB
특수교사의	특수교사/NNG+의/JKG
법정정원	법정정원/NNG
및	및/MAG
특수교육기관의	특수교육기관/NNG+의/JKG
학급당	학급/NNG+당/XSN
학생수	학생수/NNG
기준을	기준/NNG+을/JKO
준수할	준수하/VV+ㄹ/ETM
것	것/NNB
장애학생의	장애학생/NNG+의/JKG
교육권을	교육권/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
특수교사	특수교사/NNG
법정정원이	법정정원/NNG+이/JKS
확보될	확보되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력	노력/NNG
할	하/VV+ㄹ/ETM
것	것/NNB
비정규	비정규/NNG
특수교사	특수교사/NNG
문제를	문제/NNG+를/JKO
해소하기	해소하/VV+기/ETN
위해	위하/VV+여/EC
중장기	중장기/NNG
대책	대책/NNG
마련·학교	마련/NNG+·/SP+학교/NNG
운영	운영/NNG
시스템	시스템/NNG
마련	마련/NNG
등이	등/NNB+이/JKS
담겼다	담기/VV+었/EP+다/EF

기자회견	기자회견/NNG
이후	이후/NNG
12시	12/SN+시/NNB
경	경/NNG
함께가는	함께/MAG+가/VV+는/ETM
서울장애인부모회	서울/NNP+장애인부모회/NNG
최석윤	최석윤/NNP
회장과	회장/NNG+과/JC
서울장애인차별철폐연대	서울/NNP+장애인차별철폐연대/NNG
박경석	박경석/NNP
공동대표,	공동대표/NNG+,/SP
전국특수교육과협의회	전국특수교육과협의회/NNP
김호연	김호연/NNP
공동대표,	공동대표/NNG+,/SP
단국대학교	단국대학교/NNP
특수교육과	특수교육/NNG+과/JC
한경근	한경근/NNP
교수	교수/NNG
등	등/NNB
7명은	7/SN+명/NNB+은/JX
서울시교육청	서울시/NNP+교육청/NNG
최병갑	최병갑/NNP
책임교육과장과의	책임교육과장/NNG+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
가졌지만	가지/VV+었/EP+지만/EC
별	별/MM
다른	다른/MM
답변은	답변/NNG+은/JX
듣지	듣/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
내달부터	내달/NNG+부터/JX
정부중앙청사	정부중앙청사/NNG
후문	후문/NNG
앞에서	앞/NNG+에서/JKB
특수교사	특수교사/NNG
법정정원	법정정원/NNG
충원을	충원/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
기자회견과	기자회견/NNG+과/JC
교과부	교과부/NNG
교원정책과	교원정책/NNG+과/JC
관계자	관계자/NNG
및	및/MAG
행안부	행안부/NNG
관계자들과의	관계자/NNG+들/XSN+과/JKB+의/JKG
면담	면담/NNG
등을	등/NNB+을/JKO
진행할	진행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

한편	한편/MAG
이날	이날/NNG
기자회견을	기자회견/NNG+을/JKO
갖지	갖/VV+지/EC
못한	못하/VX+ㄴ/ETM
인천과	인천/NNP+과/JC
대전,	대전/NNP+,/SP
강원,	강원/NNP+,/SP
전북,	전북/NNP+,/SP
전남	전남/NNP
등의	등/NNB+의/JKG
7개	7/SN+개/NNB
지역은	지역/NNG+은/JX
4월	4/SN+월/NNB
3일부터	3/SN+일/NNB+부터/JX
13일까지	13/SN+일/NNB+까지/JX
각	각/MM
시·도	시/NNG+·/SP+도/NNG
교육청에서	교육청/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
개최할	개최하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

29일	29/SN+일/NNB
서울시교육청	서울시/NNP+교육청/NNG
앞에서	앞/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
장애인	장애인/NNG
교육권	교육권/NNG
확보	확보/NNG
및	및/MAG
특수교사	특수교사/NNG
증원	증원/NNG
촉구	촉구/NNG
기자회견	기자회견/NNG
모습	모습/NNG
