“누리과정,	“/SL+누리과정/NNG+,/SP
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

■장애유아	■/SW+장애유아/NNP
의무교육	의무교육/NNG
위한	위하/VV+ㄴ/ETM
교사	교사/NNG
배치	배치/NNG
문제=김	문제/NNG+=/SW+김/NNP
위원장은	위원장/NNG+은/JX
“특수교육법에	“/SN+특수교육법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
유치원과정의	유치원과정/NNG+의/JKG
의무교육은	의무교육/NNG+은/JX
특수교육대상자에	특수교육대상자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의무교육이며,	의무교육/NNG+이/VCP+며/EC+,/SP
유치원과	유치원/NNG+과/JC
어린이집의	어린이집/NNG+의/JKG
유아특수교사	유아특수교사/NNG
배치는	배치/NNG+는/JX
필수적”이라고	필수적”/NNG+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

유치원	유치원/NNG
일반학급에	일반학급/NNG+에/JKB
다니는	다니/VV+는/ETM
1,660명(2011년	1,660/SN+명/NNB+(/SS+2011/SN+년/NNB
특수교육연차보고서)과	특수교육연차보고서/NNG+)/SS+과/JC
일반어린이집에	일반어린이집/NNG+에/JKB
다니는	다니/VV+는/ETM
5,314명(2010년	5,314/SN+명/NNB+(/SS+2010/SN+년/NNB
보육통계)의	보육통계/NNG+)/SS+의/JKG
특수교육대상자들은	특수교육대상자/NNG+들/XSN+은/JX
유아특수교사에	유아특수교사/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
특수교육서비스를	특수교육서비스/NNG+를/JKO
전혀	전혀/MAG
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
방치되어	방치되/VV+어/EC
있기	있/VX+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
것	것/NNB

김	김/NNP
위원장은	위원장/NNG+은/JX
“장애유아를	“/SN+장애유아/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
만5세	만/MM+5/SN+세/NNB
누리과정은	누리과정/NNG+은/JX
유치원과	유치원/NNG+과/JC
어린이집에	어린이집/NNG+에/JKB
유아특수교사를	유아특수교사/NNG+를/JKO
우선적으로	우선적/NNG+으로/JKB
배치하도록	배치하/VV+도록/EC
지원해야	지원하/VV+여야/EC
함에도	하/VX+ㅁ에도/EC
불구하고	불구하/VV+고/EC
유아특수교사의	유아특수교사/NNG+의/JKG
배치를	배치/NNG+를/JKO
전혀	전혀/MAG
고려하지	고려하/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

김	김/NNP
위원장은	위원장/NNG+은/JX
또한	또한/MAG
만5세	만/MM+5/SN+세/NNB
누리과정	누리과정/NNG
운영기준은	운영기준/NNG+은/JX
어린이집	어린이집/NNG
특수교사의	특수교사/NNG+의/JKG
법적	법적/NNG
자격기준도	자격기준/NNG+도/JX
위반하고	위반하/VV+고/EC
있다고	있/VX+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

특수교육법	특수교육법/NNG
시행령에	시행령/NNG+에/JKB
따르면	따르/VV+면/EC
어린이집의	어린이집의/NNG
특수교사는	특수교사/NNG+는/JX
‘초·중등교육법’에	‘/SN+초/NNB+·/SP+중등교육법’/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
특수학교	특수학교/NNG
유치원교사	유치원교사/NNG
자격증을	자격증/NNG+을/JKO
소지해야	소지하/VV+여야/EC
한다	하/VX+ㄴ다/EF

김	김/NNP
위원장은	위원장/NNG+은/JX
“정부가	“/SN+정부/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
누리과정	누리/NP+과정/NNG
운영기준에는	운영기준/NNG+에/JKB+는/JX
현행	현행/NNG
어린이집	어린이집/NNG
특수교사	특수교사/NNG
자격인정	자격인정/NNG
기준을	기준/NNG+을/JKO
그대로	그대로/MAG
적용하고	적용하/VV+고/EC
있어,	있/VX+어/EC+,/SP
교과부가	교과부/NNG+가/JKS
지방교육재정교부금을	지방교육재정교부금/NNG+을/JKO
통해	통하/VV+여/EC
인건비를	인건비/NNG+를/JKO
지원하는	지원하/VV+는/ETM
특수교사의	특수교사/NNG+의/JKG
법적	법적/NNG
자격기준을	자격기준/NNG+을/JKO
어기게	어기/VV+게/EC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
문제를	문제/NNG+를/JKO
제기했다	제기하/VV+였/EP+다/EC

■어린이집	■/SW+어린이집/NNG
통학지원	통학지원/NNG
이행='장애인차별금지	이행/NNG+=/SW+'/SS+장애인차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률'	법률/NNG+'/SS
및	및/MAG
동법	동법/NNG
시행령에	시행령/NNG+에/JKB
따라	따르/VV+아/EC
장애아동의	장애아동/NNG+의/JKG
통학지원은	통학지원/NNG+은/JX
어린이집에서	어린이집/NNG+에서/JKB
장애아동에게	장애아동/NNG+에게/JKB
제공해야	제공하/VV+여야/EC
하는	하/VX+는/ETM
'정당한	'/SS+정당하/VA+ㄴ/ETM
편의제공'에	편의제공/NNG+'/SS+에/JKB
해당된다	해당되/VV+ㄴ다/EC

하지만	하지만/MAJ
김	김/NNP
위원장은	위원장/NNG+은/JX
현재	현재/MAG
어린이집에서는	어린이집/NNG+에서/JKB+는/JX
장애아	장애아/NNG
보육료	보육/NNG+료/XSN
틀	틀/NNG
속에서	속/NNG+에서/JKB
매우	매우/MAG
불안정하게	불안정하/VA+게/EC
되어	되/VV+어/EC
실질적으로	실질적/NNG+으로/JKB
장애아동의	장애아동/NNG+의/JKG
통학지원은	통학지원/NNG+은/JX
실질적으로	실질적/NNG+으로/JKB
이뤄지기	이루어지/VV+기/ETN
어렵다고	어렵/VA+다고/EC
주장했다	주장하/VV+였/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
문제해결을	문제해결/NNG+을/JKO
위해	위하/VV+여/EC
김	김/NNP
위원장은	위원장/NNG+은/JX
장애전문어린이집	장애전문어린이집/NNP
이하	이하/NNG
시설규모(장애아동	시설규모/NNG+(/SS+장애아동/NNG
12명	12/SN+명/NNB
미만):	미만/NNG+)/SS+:/SP
장애유아마다	장애유아/NNP+마다/JX
개별적으로	개별적/NNG+으로/JKB
통학비	통학비/NNG
지원	지원/NNG
장애아전문어린이집	장애아전문어린이집/NNG
시설규모(장애아동	시설규모/NNG+(/SS+장애아동/NNG
12명	12/SN+명/NNB
이상):	이상/NNG+)/SS+:/SP
통학차량,	통학차량/NNG+,/SP
운전원	운전원/NNG
인건비,	인건비/NNG+,/SP
차량운영비	차량운영비/NNG
등의	등/NNB+의/JKG
지원을	지원/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
통학지원을	통학지원/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

또한	또한/MAG
복지부	복지부/NNG
예산	예산/NNG
편성	편성/NNG
시	시/NNG
꾸준히	꾸준히/MAG
논의	논의/NNG
됐고,	되/VV+었/EP+고/EC+,/SP
복지부	복지부/NNG
측도	측/NNB+도/JX
이에	이/NP+에/JKB
대해	대하/VV+여/EC
수긍하고	수긍하/VV+고/EC
있는	있/VX+는/ETM
상황이지만	상황/NNG+이/VCP+지만/EC
작년에도	작년/NNG+에/JKB+도/JX
기재부가	기재부/NNG+가/JKS
통학지원	통학지원/NNG
항목을	항목/NNG+을/JKO
잘랐다고	자르/VV+았/EP+다고/EC
설명하며,	설명하/VV+며/EC+,/SP
예산	예산/NNG
검토	검토/NNG
시	시/NNG
복지부보다는	복지부/NNG+보다/JKB+는/JX
기재부를	기재부/NNG+를/JKO
압박해	압박하/VV+여/EC
통학지원의	통학지원/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
알려야	알리/VV+어야/EC
된다고	되/VV+ㄴ다고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

한편	한편/MAG
김	김/NNP
위원장은	위원장/NNG+은/JX
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
누리과정의	누리/NP+과정/NNG+의/JKG
문제를	문제/NNG+를/JKO
논의하기	논의하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
유아특수교육	유아특수교육/NNG
전문가,	전문가/NNG+,/SP
종사자,	종사자/NNG+,/SP
장애아	장애아/NNG
부모,	부모/NNG+,/SP
보건복지부·교육과학기술부	보건복지부/NNG+·/SP+교육과학기술부/NNG
담당자	담당자/NNG
등으로	등/NNB+으로/JKB
구성된	구성되/VV+ㄴ/ETM
‘장애아	‘/SN+장애아/NNG
누리과정	누리과정/NNG
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
민·관	민/NNG+·/SP+관/NNG
합동	합동/NNG
TF팀’	TF/SL+팀/NNG+’/SN
구성을	구성/NNG+을/JKO
제안했다	제안하/VV+였/EP+다/EC

김	김/NNP
위원장은	위원장/NNG+은/JX
“이	“/SL+이/JKS
요구안과	요구안/NNG+과/JKB
관련해서	관련하/VV+여서/EC
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
복지부와	복지부/NNG+와/JC
면담을	면담/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
바	바/NNB
있고,	있/VA+고/EC+,/SP
여러	여러/MM
의견이	의견/NNG+이/JKS
오가는	오가/VV+는/ETM
상황”이라면서도	상황/NNG+”/SN+이/VCP+라면서/EC+도/JX
“빠른	“/SL+빠르/VA+ㄴ/ETM
시일	시일/NNG
내	내/NNB
교과부	교과부/NNG
특수교육과나	특수교육과/NNG+나/JC
유아교육과,	유아교육과/NNG+,/SP
복지부	복지부/NNG
보육사업기획과,	보육사업기획/NNG+과/JC+,/SP
장애아	장애아/NNG
부모,	부모/NNG+,/SP
장보협	장보협/NNP
관계자	관계자/NNG
등과의	등/NNB+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
다시	다시/MAG
가질	가지/VV+ㄹ/ETM
예정”이라고	예정”/NNG+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

이와	이/NP+와/JKB
관련	관련/NNG
토론회에	토론회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
보건복지부	보건복지부/NNG
보육사업기획과	보육사업기획/NNG+과/JC
오재욱	오재욱/NNP
사무관은	사무관/NNG+은/JX
“누리과정에	“/SL+누리과정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제점이나	문제점/NNG+이나/JC
장애아	장애아/NNG
교육환경	교육환경/NNG
개선	개선/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
내용에	내용/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
충분히	충분히/MAG
검토하겠다”면서	검토하/VV+겠/EP+다/EC+”/VX+면서/EC
“사실	“/SN+사실/NNG
100%	100/SN+%/SW
복지부가	복지부/NNG+가/JKS
독단적으로	독단적/NNG+으로/JKB
해결될	해결되/VV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
교과부와	교과부/NNG+와/JKB
협의해야	협의하/VV+여야/EC
하는	하/VX+는/ETM
부분도	부분/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
이러한	이러하/VA+ㄴ/ETM
의견들이	의견/NNG+들/XSN+이/JKS
실행에	실행/NNG+에/JKB
옮길	옮기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
밑바탕이	밑바탕/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각	생각/NNG
한다”고	하/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
