특수학교	특수학교/NNG
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
사실은	사실/NNG+은/JX
이	이/MM
학교에	학교/NNG+에/JKB
근무하던	근무하/VV+던/ETM
인턴교사가	인턴교사/NNP+가/JKS
A	A/SL
교사의	교사/NNG+의/JKG
가혹행위를	가혹행위/NNG+를/JKO
학교장에게	학교장/NNG+에게/JKB
보고하고	보고하/VV+고/EC
나서도	나/VX+아서/EC+도/JX
별다른	별다르/VA+ㄴ/ETM
조치가	조치/NNG+가/JKS
없자	없/VA+자/EC
학교를	학교/NNG+를/JKO
그만두기	그만두/VV+기/ETN
전	전/NNG
A	A/SL
교사의	교사/NNG+의/JKG
행위들을	행위/NNG+들/XSN+을/JKO
정리한	정리하/VV+ㄴ/ETM
일지를	일지/NNG+를/JKO
학부모들에게	학부모/NNG+들/XSN+에게/JKB
전달하면서	전달하/VV+면서/EC
공론화된	공론화되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

이	이/MM
학교에서는	학교/NNG+에서/JKB+는/JX
지난해	지난해/NNG
고등부	고등/NNG+부/XSN
1학년	1/SN+학년/NNG
담임	담임/NNG
B	B/SL
교사가	교사/NNG+가/JKS
'말을	'/SS+말/NNG+을/JKO
듣지	듣/VV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/JX
이유로	이유/NNG+로/JKB
학생의	학생/NNG+의/JKG
손발을	손발/NNG+을/JKO
묶는	묶/VV+는/ETM
등	등/NNB
지난	지나/VV+ㄴ/ETM
몇	몇/MM
년간	년/NNB+간/XSN
여러	여러/MM
차례	차례/NNG
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가혹행위가	가혹행위/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
학부모회는	학부모회/NNG+는/JX
밝혔다	밝히/VV+었/EP+다/EC

학부모회는	학부모회/NNG+는/JX
"가혹행위	"/SS+가혹행위/NNG
방지를	방지/NNG+를/JKO
위해	위하/VV+여/EC
학내에	학내/NNG+에/JKB
폐쇄회로(CC)TV를	폐쇄회/NNG+로/JKB+(/SS+CC/SL+)/SS+TV/SL+를/JKO
달아	달/VV+아/EC
달라고	달/VX+라고/EC
요구했지만	요구하/VV+였/EP+지만/EC
학교	학교/NNG
측은	측/NNB+은/JX
'교권	'/SS+교권/NNG
침해가	침해/NNG+가/JKS
우려된다'며	우려되/VV+ㄴ다/EF+'/SS+며/EC
응하지	응하/VV+지/EC
않는	않/VX+는/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"교육과학기술부가	"/SS+교육과학기술부/NNG+가/JKS
나서	나서/VV+어/EC
재발	재발/NNG
방지책을	방지책/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
촉구했다	촉구하/VV+였/EP+다/EC

인권위는	인권위/NNG+는/JX
학부모들의	학부모/NNG+들/XSN+의/JKG
진정을	진정/NNG+을/JKO
접수하고	접수하/VV+고/EC
교사와	교사/NNG+와/JC
교직원들을	교직원/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
진상	진상/NNG
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다	있/VX+다/EC

인권위	인권위/NNG
관계자는	관계자/NNG+는/JX
"조사에	"/SS+조사/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것은	것/NNB+은/JX
맞지만	맞/VV+지만/EC
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
사안이라	사안/NNG+이/VCP+라/EC
정확한	정확하/VA+ㄴ/ETM
판단은	판단/NNG+은/JX
조사가	조사/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후에나	후/NNG+에/JKB+나/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

pulse@yna	pulse/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
