미국	미국/NNP
사고	사/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
10일	10/SN+일/NNB
페디아트릭	페디아트릭/NNP
앤	앤/NNP
어돌센트	어돌센트/NNP
메디슨지는	메디슨지/NNP+는/JX
미	미/NNP
전국의	전국/NNG+의/JKG
장애	장애/NNG
부모	부모/NNG
900명	900/SN+명/NNB
이상의	이상/NNG+의/JKG
데이터를	데이터/NNG+를/JKO
토대로	토대/NNG+로/JKB
장애	장애/NNG
학생이	학생/NNG+이/JKS
당하는	당하/VV+는/ETM
괴롭힘을	괴롭히/VV+ㅁ/ETN+을/JKO
조사해	조사하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

이	이/MM
데이타를	데이타/NNG+를/JKO
보면	보/VV+면/EC
장애	장애/NNG
학생	학생/NNG
중	중/NNB
반이	반/NNG+이/JKS
넘는	넘/VV+는/ETM
57%가	57/SN+%/SW+가/JKS
교우로부터	교우/NNG+로부터/JKB
집단	집단/NNG
괴롭힘을	괴롭히/VV+ㅁ/ETN+을/JKO
당했다	당하/VV+였/EP+다/EC

이	이/MM
조사를	조사/NNG+를/JKO
담당한	담당하/VV+ㄴ/ETM
연구원은	연구원/NNG+은/JX
"통합학교가	"/SS+통합학교/NNG+가/JKS
이루어지지	이루어지/VV+지/EC
않고	않/VX+고/EC
별도	별도/NNG
학교의	학교/NNG+의/JKG
운영	운영/NNG
체제가	체제/NNG+가/JKS
만들어	만들/VV+어/EC
낸데	내/VV+ㄴ/ETM+데/NNB
기인했다"며	기인하/VV+였/EP+다/EF+"/SS+며/EC
"장애	"/SS+장애/NNG
학생이	학생/NNG+이/JKS
적응해	적응하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
학교를	학교/NNG+를/JKO
운영해	운영하/VV+여/EC
나가야	나가/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
일침을	일침/NNG+을/JKO
가했다	가하/VV+였/EP+다/EF

장애	장애/NNG
학부모들은	학부모/NNG+들/XSN+은/JX
장애	장애/NNG
학생을	학생/NNG+을/JKO
괴롭히는	괴롭히/VV+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
보고해야	보고하/VV+여야/EC
하지만,	하/VX+지만/EC+,/SP
그럴	그렇/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력	능력/NNG
조차도	조차/NNG+도/JX
가지지	가지/VV+지/EC
못해	못하/VX+여/EC
그냥	그냥/MAG
지나치는	지나치/VV+는/ETM
경우가	경우/NNG+가/JKS
많다며	많/VA+다며/EC
안타까워	안타깝/VA+어/EC
하고	하/VV+고/EC
있다	있/VX+다/EC

버클리	버클리/NNP
대학의	대학/NNG+의/JKG
폴	폴/NNP
스터징은	스터징/NNG+은/JX
"(학교에)반괴롭힘	"(/SS+학교/NNG+에/JKB+)/SS+반괴롭히/VA+ㅁ/ETN
프로그램을	프로그램/NNG+을/JKO
운영해	운영하/VV+여/EC
대처법을	대처/NNG+법/XSN+을/JKO
익혀야	익히/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
