"특수학교	"/SS+특수학교/NNG
학교발전기금	학교발전기금/NNG
조성	조성/NNG
및	및/MAG
사용	사용/NNG
등	등/NNB
학교	학교/NNG
전반에	전반/NNG+에/JKB
대해	대하/VV+여/EC
경찰과	경찰/NNG+과/JC
경북교육청은	경북/NNP+교육청/NNG+은/JX
철저한	철저하/VA+ㄴ/ETM
수사와	수사/NNG+와/JC
감사를	감사/NNG+를/JKO
해야	하/VV+여야/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
경북도교육청	경북도/NNP+교육청/NNG
관계자는	관계자/NNG+는/JX
“행정실	“/SN+행정실/NNG
직원도	직원/NNG+도/JX
횡령	횡령/NNG
사실에	사실/NNG+에/JKB
대해	대하/VV+여/EC
인정했고,	인정하/VV+였/EP+고/EC+,/SP
구속은	구속/NNG+은/JX
되지	되/VV+지/EC
않은	않/VX+은/ETM
상태인	상태/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“영광학교	“/SW+영광학교/NNG
측에서	측/NNB+에서/JKB
이	이/MM
직원을	직원/NNG+을/JKO
영천경찰서에	영천/NNP+경찰서/NNG+에/JKB
고발했고,	고발하/VV+었/EP+고/EC+,/SP
교육청은	교육청/NNG+은/JX
대구지방검찰청에	대구/NNP+지방검찰청/NNG+에/JKB
고발했다	고발하/VV+였/EP+다/EF

수사	수사/NNG
결과에	결과/NNG+에/JKB
따라서	따르/VV+아서/EC
관련자들을	관련자/NNG+들/XSN+을/JKO
징계	징계/NNG
조치할	조치하/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/XSN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC
